Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,GM,14,Strength,80.32407,82.20905,-1.8849792
MULTILAYER,GM,15,Strength,95.09042,92.983696,2.1067276
MULTILAYER,GM,16,Strength,89.7359,88.56186,1.1740417
MULTILAYER,GM,17,Strength,95.1599,91.68029,3.4796066
MULTILAYER,GM,18,Strength,87.05399,87.24093,-0.18693542
MULTILAYER,GM,19,Strength,87.8975,88.99224,-1.0947418
MULTILAYER,GM,20,Strength,85.7096,83.84045,1.8691559
MULTILAYER,GM,21,Strength,92.35663,92.840454,-0.48382568
MULTILAYER,GM,22,Strength,101.88544,98.66549,3.2199478
MULTILAYER,GM,23,Strength,84.64674,87.63945,-2.9927063
MULTILAYER,GM,24,Strength,93.16075,92.48813,0.6726227
MULTILAYER,GM,25,Strength,94.18269,93.81935,0.3633423
MULTILAYER,GM,26,Strength,97.29378,96.3394,0.9543762
MULTILAYER,GM,27,Strength,102.6093,100.70736,1.9019394
MULTILAYER,GM,28,Strength,96.65958,95.64892,1.0106583
MULTILAYER,GM,29,Strength,77.12518,77.191246,-0.06606293
MULTILAYER,GM,30,Strength,102.28353,99.36391,2.9196243
MULTILAYER,GM,31,Strength,90.91349,93.746635,-2.8331451
MULTILAYER,GM,32,Strength,81.80821,80.716606,1.0916061
MULTILAYER,GM,33,Strength,93.56309,90.14408,3.4190063
MULTILAYER,GM,34,Strength,84.816185,85.02612,-0.20993805
MULTILAYER,GM,35,Strength,82.20576,83.304535,-1.0987778
MULTILAYER,GM,36,Strength,65.91029,69.53429,-3.623993
MULTILAYER,GM,37,Strength,69.13394,73.375595,-4.2416534
MULTILAYER,GM,38,Strength,91.563736,94.878174,-3.3144379
MULTILAYER,GM,39,Strength,81.00089,80.1104,0.8904953
MULTILAYER,GM,40,Strength,90.977615,89.474815,1.5028
MULTILAYER,GM,41,Strength,81.739716,85.54766,-3.8079453
MULTILAYER,GM,42,Strength,87.8462,86.53264,1.3135605
MULTILAYER,GM,43,Strength,54.469707,60.81435,-6.3446426
MULTILAYER,GM,44,Strength,72.95035,76.71969,-3.7693405
MULTILAYER,GM,45,Strength,81.670235,84.1233,-2.453064
MULTILAYER,GM,46,Strength,91.35071,92.52283,-1.1721191
MULTILAYER,GM,47,Strength,92.61917,93.6153,-0.9961319
MULTILAYER,GM,48,Strength,57.798267,61.620033,-3.821766
MULTILAYER,GM,49,Strength,75.913826,77.441864,-1.528038
MULTILAYER,GM,50,Strength,98.875404,98.10878,0.76662445
MULTILAYER,GM,51,Strength,83.98573,86.5343,-2.5485687
MULTILAYER,GM,52,Strength,86.515076,84.865326,1.6497498
MULTILAYER,GM,53,Strength,87.13442,88.00739,-0.8729706
MULTILAYER,GM,54,Strength,80.48028,83.77492,-3.2946396
MULTILAYER,GM,55,Strength,76.577065,79.2878,-2.7107391
MULTILAYER,GM,56,Strength,81.746994,86.03288,-4.2858887
MULTILAYER,GM,57,Strength,96.74728,96.47429,0.27298737
MULTILAYER,GM,58,Strength,68.13003,71.83948,-3.7094498
MULTILAYER,GM,59,Strength,84.32662,86.031006,-1.7043839
MULTILAYER,GM,60,Strength,96.30136,93.90462,2.3967438
MULTILAYER,GM,61,Strength,84.2119,85.27908,-1.0671844
MULTILAYER,GM,62,Strength,92.21437,89.70849,2.5058823
MULTILAYER,GM,63,Strength,85.00195,84.794525,0.20742798
MULTILAYER,GM,64,Strength,76.43392,78.29865,-1.8647308
MULTILAYER,GM,65,Strength,81.79986,82.76739,-0.9675293
MULTILAYER,GM,66,Strength,89.98252,90.81861,-0.8360901
MULTILAYER,GM,67,Strength,99.30663,98.12491,1.1817245
MULTILAYER,GM,68,Strength,81.42956,83.91348,-2.4839249
MULTILAYER,GM,69,Strength,91.83025,92.65194,-0.8216858
MULTILAYER,GM,70,Strength,95.91967,95.832115,0.08755493
MULTILAYER,GM,71,Strength,95.12544,95.35571,-0.23027039
MULTILAYER,GM,72,Strength,99.37855,98.8457,0.53284454
MULTILAYER,GM,73,Strength,97.05203,95.04183,2.0102005
MULTILAYER,GM,74,Strength,64.18483,67.10698,-2.9221497
MULTILAYER,GM,75,Strength,99.24544,95.80748,3.4379578
MULTILAYER,rsfMRI,0,Strength,73.86646,67.13671,6.7297516
MULTILAYER,rsfMRI,1,Strength,80.122025,74.47905,5.642975
MULTILAYER,rsfMRI,2,Strength,77.519394,69.090355,8.429039
MULTILAYER,rsfMRI,3,Strength,48.710938,49.25763,-0.5466919
MULTILAYER,rsfMRI,4,Strength,78.20414,71.73351,6.470627
MULTILAYER,rsfMRI,5,Strength,88.95824,82.83139,6.1268463
MULTILAYER,rsfMRI,6,Strength,87.97457,79.36455,8.6100235
MULTILAYER,rsfMRI,7,Strength,86.2583,79.1669,7.0914
MULTILAYER,rsfMRI,8,Strength,83.98896,76.34265,7.646309
MULTILAYER,rsfMRI,9,Strength,78.287544,73.892784,4.39476
MULTILAYER,rsfMRI,10,Strength,74.80022,67.10092,7.699295
MULTILAYER,rsfMRI,11,Strength,72.33204,69.80209,2.5299454
MULTILAYER,rsfMRI,12,Strength,93.80453,85.43961,8.364914
MULTILAYER,rsfMRI,13,Strength,59.403275,56.25054,3.1527328
MULTILAYER,rsfMRI,14,Strength,79.09316,72.28571,6.8074493
MULTILAYER,rsfMRI,15,Strength,79.49872,72.36567,7.133049
MULTILAYER,rsfMRI,16,Strength,72.146614,67.15351,4.993103
MULTILAYER,rsfMRI,17,Strength,79.01057,72.83735,6.173218
MULTILAYER,rsfMRI,18,Strength,75.38269,67.01299,8.369698
MULTILAYER,rsfMRI,19,Strength,83.945885,77.15571,6.7901764
MULTILAYER,rsfMRI,20,Strength,80.38286,73.760544,6.6223145
MULTILAYER,rsfMRI,21,Strength,84.7113,78.914955,5.7963486
MULTILAYER,rsfMRI,22,Strength,90.613335,80.879,9.734337
MULTILAYER,rsfMRI,23,Strength,72.09117,68.78057,3.3106003
MULTILAYER,rsfMRI,24,Strength,83.054565,76.70687,6.3476944
MULTILAYER,rsfMRI,25,Strength,87.47038,80.98959,6.480789
MULTILAYER,rsfMRI,26,Strength,90.92556,82.18614,8.739418
MULTILAYER,rsfMRI,27,Strength,92.69054,83.75492,8.935616
MULTILAYER,rsfMRI,28,Strength,87.13962,79.52416,7.6154556
MULTILAYER,rsfMRI,29,Strength,71.878944,66.04636,5.832588
MULTILAYER,rsfMRI,30,Strength,90.76874,82.08463,8.684105
MULTILAYER,rsfMRI,31,Strength,89.45471,80.377396,9.077316
MULTILAYER,rsfMRI,32,Strength,79.69474,72.61653,7.078209
MULTILAYER,rsfMRI,33,Strength,87.28288,78.02111,9.261772
MULTILAYER,rsfMRI,34,Strength,77.72416,71.54633,6.177826
MULTILAYER,rsfMRI,35,Strength,79.83177,73.02658,6.805191
MULTILAYER,rsfMRI,36,Strength,58.460228,57.51111,0.94911957
MULTILAYER,rsfMRI,37,Strength,66.05019,64.60413,1.4460602
MULTILAYER,rsfMRI,38,Strength,91.739784,82.43658,9.303207
MULTILAYER,rsfMRI,39,Strength,82.30149,73.43413,8.867363
MULTILAYER,rsfMRI,40,Strength,87.364525,78.913864,8.450661
MULTILAYER,rsfMRI,41,Strength,78.40044,72.70073,5.699707
MULTILAYER,rsfMRI,42,Strength,81.84747,75.56153,6.285942
MULTILAYER,rsfMRI,43,Strength,52.670574,53.532166,-0.86159134
MULTILAYER,rsfMRI,44,Strength,63.06202,61.04309,2.0189285
MULTILAYER,rsfMRI,45,Strength,72.98885,66.37277,6.616081
MULTILAYER,rsfMRI,46,Strength,78.85146,73.81285,5.0386124
MULTILAYER,rsfMRI,47,Strength,78.58901,70.70277,7.8862457
MULTILAYER,rsfMRI,48,Strength,47.13397,46.34222,0.79174805
MULTILAYER,rsfMRI,49,Strength,74.12494,68.37188,5.7530594
MULTILAYER,rsfMRI,50,Strength,89.12172,82.492546,6.6291733
MULTILAYER,rsfMRI,51,Strength,83.863075,77.02025,6.842827
MULTILAYER,rsfMRI,52,Strength,83.8401,76.59621,7.2438965
MULTILAYER,rsfMRI,53,Strength,82.158455,75.37688,6.781578
MULTILAYER,rsfMRI,54,Strength,75.51926,71.272064,4.2471924
MULTILAYER,rsfMRI,55,Strength,72.39288,65.49028,6.902603
MULTILAYER,rsfMRI,56,Strength,70.22102,67.53316,2.6878662
MULTILAYER,rsfMRI,57,Strength,92.15247,83.95246,8.200012
MULTILAYER,rsfMRI,58,Strength,60.41584,55.03922,5.3766212
MULTILAYER,rsfMRI,59,Strength,77.67159,71.04973,6.6218643
MULTILAYER,rsfMRI,60,Strength,81.944244,75.66353,6.280716
MULTILAYER,rsfMRI,61,Strength,73.06989,68.62806,4.4418335
