Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
GM,27,Betweenness,0.023749787,0.0058281366,0.01792165
GM,28,Betweenness,0.022417134,0.015495495,0.0069216387
GM,29,Betweenness,0.036783956,0.064012475,-0.02722852
GM,30,Betweenness,0.017848037,0.004151074,0.013696963
GM,31,Betweenness,0.047934726,0.00989605,0.038038675
GM,32,Betweenness,0.01691654,0.017560637,-0.0006440971
GM,33,Betweenness,0.011647118,0.022543311,-0.010896193
GM,34,Betweenness,0.003902771,0.013970895,-0.010068124
GM,35,Betweenness,0.036138028,0.013187801,0.022950226
GM,36,Betweenness,0.016556177,0.019812891,-0.003256714
GM,37,Betweenness,0.06326024,0.02991684,0.033343405
GM,38,Betweenness,0.025979942,0.012279972,0.013699969
GM,39,Betweenness,0.026054733,0.034400556,-0.008345824
GM,40,Betweenness,0.02255992,0.045239087,-0.022679167
GM,41,Betweenness,0.036308005,0.012148302,0.024159703
GM,42,Betweenness,0.0281761,0.035426196,-0.007250095
GM,43,Betweenness,0.05028727,0.026798338,0.023488931
GM,44,Betweenness,0.05645419,0.019972282,0.03648191
GM,45,Betweenness,0.047880333,0.023603601,0.024276732
GM,46,Betweenness,0.020370558,0.013444214,0.006926344
GM,47,Betweenness,0.042794492,0.015038114,0.027756378
GM,48,Betweenness,0.035233725,0.0108316,0.024402125
GM,49,Betweenness,0.044235937,0.0036382538,0.040597685
GM,50,Betweenness,0.019486656,0.0025641026,0.016922554
GM,51,Betweenness,0.02446371,0.0040679136,0.020395797
GM,52,Betweenness,0.039238483,0.04221068,-0.0029721968
GM,53,Betweenness,0.02127486,0.004227304,0.017047554
GM,54,Betweenness,0.028142106,0.03075537,-0.002613265
GM,55,Betweenness,0.049702533,0.0034857937,0.046216737
GM,56,Betweenness,0.053285737,0.001988912,0.051296823
GM,57,Betweenness,0.012707802,0.0049203048,0.007787497
GM,58,Betweenness,0.0076967534,0.008835759,-0.0011390056
GM,59,Betweenness,0.025048444,0.027151767,-0.0021033231
GM,60,Betweenness,0.00890702,0.027221065,-0.018314045
GM,61,Betweenness,0.01572667,0.032092866,-0.016366195
GM,62,Betweenness,0.012204657,0.01920305,-0.0069983928
GM,63,Betweenness,0.033438724,0.009306999,0.024131725
GM,64,Betweenness,0.046030935,0.02260568,0.023425255
GM,65,Betweenness,0.025843957,0.014449065,0.011394893
GM,66,Betweenness,0.013285739,0.013499653,-0.00021391362
GM,67,Betweenness,0.026415095,0.0032016633,0.023213431
GM,68,Betweenness,0.040278766,0.015800416,0.02447835
GM,69,Betweenness,0.022872685,0.012099792,0.010772892
GM,70,Betweenness,0.03481217,0.015135137,0.019677034
GM,71,Betweenness,0.03691314,0.008184338,0.028728804
GM,72,Betweenness,0.01962264,0.00065835065,0.01896429
GM,73,Betweenness,0.030848207,0.0113929305,0.019455276
GM,74,Betweenness,0.072384834,0.09116424,-0.018779404
GM,75,Betweenness,0.009777324,0.00990298,-0.0001256559
GM,0,Closeness,0.9813379,0.9764823,0.004855633
GM,1,Closeness,0.98783946,0.9946238,-0.00678432
GM,2,Closeness,0.99154085,0.9908588,0.00068205595
GM,3,Closeness,0.98847175,0.99638176,-0.007910013
GM,4,Closeness,0.98882633,0.9933814,-0.0045550466
GM,5,Closeness,0.99284667,0.9906266,0.0022200942
GM,6,Closeness,0.9879904,0.9942304,-0.0062400103
GM,7,Closeness,0.9869164,0.9967879,-0.009871483
GM,8,Closeness,0.98826855,0.9946462,-0.0063776374
GM,9,Closeness,0.9882762,0.99508643,-0.006810248
GM,10,Closeness,0.98831284,0.9937694,-0.005456567
GM,11,Closeness,0.97798085,0.979489,-0.0015081763
GM,12,Closeness,0.9863279,0.9960941,-0.009766221
GM,13,Closeness,0.989153,0.9933297,-0.0041766763
GM,14,Closeness,0.91864985,0.91943955,-0.00078970194
GM,15,Closeness,0.9936355,0.9894453,0.004190147
GM,16,Closeness,0.99579066,0.9893954,0.0063952804
GM,17,Closeness,0.9935498,0.98913586,0.0044139624
GM,18,Closeness,0.97876763,0.97857654,0.00019109249
GM,19,Closeness,0.8976711,0.89778626,-0.000115156174
GM,20,Closeness,0.9915854,0.99106437,0.0005210042
GM,21,Closeness,0.9909846,0.9913612,-0.00037658215
GM,22,Closeness,0.98945445,0.99316067,-0.0037062168
GM,23,Closeness,0.9875539,0.994423,-0.0068690777
GM,24,Closeness,0.99126124,0.99112195,0.00013929605
GM,25,Closeness,0.98710257,0.99483955,-0.007736981
GM,26,Closeness,0.91855973,0.9197225,-0.0011627674
GM,27,Closeness,0.9889675,0.9937619,-0.004794419
GM,28,Closeness,0.97864157,0.9796313,-0.0009897351
GM,29,Closeness,0.91299057,0.9039542,0.009036362
GM,30,Closeness,0.9896216,0.9933291,-0.003707528
GM,31,Closeness,0.98572254,0.9962755,-0.010552943
GM,32,Closeness,0.987375,0.99542236,-0.008047342
GM,33,Closeness,0.99387646,0.98887986,0.0049965978
GM,34,Closeness,0.9923592,0.99067366,0.0016855597
GM,35,Closeness,0.9869399,0.9948679,-0.007928014
GM,36,Closeness,0.98993766,0.99333614,-0.003398478
GM,37,Closeness,0.98830116,0.9937409,-0.0054397583
GM,38,Closeness,0.9853038,0.9969896,-0.011685789
GM,39,Closeness,0.98841196,0.9936235,-0.005211532
GM,40,Closeness,0.99222505,0.99003637,0.0021886826
GM,41,Closeness,0.9863567,0.99600345,-0.009646773
GM,42,Closeness,0.9877114,0.9943648,-0.0066533685
GM,43,Closeness,0.9921834,0.9917378,0.00044560432
GM,44,Closeness,0.9884825,0.99450016,-0.006017685
GM,45,Closeness,0.93944824,0.9454774,-0.0060291886
GM,46,Closeness,0.9804829,0.9767799,0.0037029982
GM,47,Closeness,0.99013704,0.99287266,-0.0027356148
GM,48,Closeness,0.9865229,0.9980083,-0.011485398
GM,49,Closeness,0.9847214,0.99776113,-0.013039708
GM,50,Closeness,0.98941904,0.99244857,-0.0030295253
GM,51,Closeness,0.98565334,0.99650913,-0.010855794
GM,52,Closeness,0.9884317,0.99370944,-0.005277753
GM,53,Closeness,0.9862043,0.99602294,-0.0098186135
GM,54,Closeness,0.9878466,0.99539924,-0.0075526237
GM,55,Closeness,0.9880767,0.9941559,-0.006079197
GM,56,Closeness,0.9875513,0.99506754,-0.007516265
GM,57,Closeness,0.98711026,0.9948447,-0.007734418
GM,58,Closeness,0.98751414,0.9979888,-0.010474682
GM,59,Closeness,0.95863104,0.9497296,0.008901417
