edge_idx,source,target,control,ms,delta
1020,37,18,0.28138068,0.28693864,-0.0055579543
1327,72,42,0.27317145,0.2787419,-0.0055704415
171,8,9,0.27762094,0.2831946,-0.00557366
694,67,72,0.27826887,0.28388798,-0.0056191087
314,17,75,0.27407238,0.2796921,-0.0056197345
1079,39,21,0.27099118,0.2766111,-0.0056199133
288,15,45,0.27515084,0.2807789,-0.005628079
1050,72,19,0.27461955,0.28025547,-0.005635917
1365,72,53,0.27327767,0.2789206,-0.0056429207
1046,67,19,0.2751867,0.2808463,-0.00565961
892,57,8,0.273345,0.2790053,-0.0056602955
824,47,6,0.27674684,0.2824249,-0.0056780577
1247,67,30,0.27948773,0.28519106,-0.00570333
1061,28,20,0.27233738,0.27806216,-0.0057247877
502,27,67,0.26953095,0.2752633,-0.0057323575
1359,72,52,0.27115807,0.27689543,-0.0057373643
627,42,63,0.27654254,0.28230333,-0.005760789
361,20,25,0.26783127,0.27359673,-0.005765468
1348,65,50,0.26620725,0.2719889,-0.0057816505
1229,50,29,0.27548265,0.2812958,-0.0058131516
1361,75,52,0.27809566,0.28391525,-0.005819589
933,33,12,0.28877816,0.294598,-0.005819857
205,9,26,0.27192548,0.27776414,-0.0058386624
825,50,6,0.27070627,0.27659616,-0.0058898926
278,14,67,0.2737644,0.27965638,-0.0058919787
98,5,38,0.2722589,0.27816057,-0.0059016645
466,26,40,0.274658,0.28059402,-0.0059360266
373,20,64,0.26895103,0.27490145,-0.005950421
1380,67,57,0.27894458,0.28492954,-0.005984962
1239,52,30,0.273894,0.27988723,-0.005993217
108,5,64,0.27025795,0.27625185,-0.0059939027
772,27,4,0.2733148,0.27931067,-0.0059958696
874,29,8,0.28333342,0.28935078,-0.006017357
95,5,33,0.27471638,0.28073826,-0.006021887
592,35,55,0.2726407,0.27868155,-0.0060408413
1159,27,26,0.27144957,0.2774946,-0.0060450435
1148,59,25,0.2721922,0.27825028,-0.006058067
488,27,31,0.27391794,0.27999923,-0.006081283
582,34,64,0.27075824,0.2768647,-0.006106466
179,8,31,0.27479818,0.28093794,-0.0061397552
1276,73,33,0.27308849,0.2792309,-0.0061424077
838,73,6,0.27228135,0.27845764,-0.006176293
229,12,15,0.27000389,0.276202,-0.006198108
204,9,22,0.2759197,0.28212386,-0.006204158
744,33,2,0.28088424,0.2870886,-0.0062043667
580,34,46,0.27266976,0.27888796,-0.006218195
1251,35,31,0.2665077,0.27273086,-0.006223172
301,16,62,0.2746168,0.28084362,-0.006226808
167,7,67,0.27318102,0.2794168,-0.0062357783
1370,67,54,0.27509713,0.2813915,-0.0062943697
233,12,22,0.270317,0.27661425,-0.0062972605
918,51,10,0.27249548,0.27879775,-0.0063022673
629,42,71,0.2744158,0.2807519,-0.0063361228
305,17,20,0.27334988,0.2796901,-0.0063402057
1379,65,57,0.27202877,0.2783691,-0.006340325
1294,47,38,0.2736494,0.28003457,-0.0063851774
