edge_idx,source,target,control,ms,delta
1418,21,75,0.27941772,0.28630173,-0.0068840086
259,3,41,0.27680567,0.28369087,-0.0068852007
227,3,9,0.27964354,0.28653032,-0.0068867803
186,2,40,0.27798054,0.28487098,-0.006890446
3547,68,9,0.27322137,0.28011224,-0.006890863
2368,44,59,0.27491766,0.2818145,-0.0068968236
3835,41,14,0.2763768,0.28327483,-0.0068980157
1016,14,72,0.2726459,0.27955133,-0.0069054365
2705,58,67,0.27054155,0.277454,-0.00691244
5036,42,39,0.27840564,0.285323,-0.0069173574
321,4,32,0.27507585,0.28200763,-0.006931782
300,4,11,0.28093877,0.2878718,-0.0069330335
5328,55,48,0.27152777,0.27846664,-0.0069388747
751,10,57,0.28009197,0.28704962,-0.00695765
1335,20,46,0.27398315,0.28094894,-0.006965786
2530,50,56,0.27637368,0.2833498,-0.0069761276
2492,48,69,0.27094707,0.2779373,-0.006990224
3127,59,3,0.27447203,0.28146908,-0.006997049
4856,52,34,0.27515253,0.28215045,-0.006997913
151,2,5,0.27443415,0.28143322,-0.0069990754
2976,53,1,0.27715626,0.2841559,-0.0069996417
3360,14,7,0.27763885,0.28464174,-0.00700289
5040,46,39,0.27558148,0.28259397,-0.0070124865
5647,68,65,0.2769163,0.28393045,-0.0070141554
2608,53,65,0.27798915,0.28500372,-0.0070145726
1943,32,72,0.2780476,0.28507346,-0.0070258677
4475,27,26,0.27446917,0.2814987,-0.0070295334
2827,68,74,0.27249724,0.2795332,-0.0070359707
5253,64,45,0.27365166,0.2806958,-0.0070441365
3745,74,12,0.28278866,0.28983784,-0.007049173
3132,64,3,0.2768293,0.28388602,-0.007056713
3479,66,8,0.2798409,0.28691784,-0.007076949
4677,43,30,0.27650663,0.28358972,-0.007083088
1446,22,50,0.2721739,0.27925926,-0.007085353
4424,75,24,0.27257186,0.2796612,-0.0070893466
4599,56,28,0.2753689,0.282461,-0.0070920885
4011,40,17,0.27513576,0.28223884,-0.0071030855
4310,64,22,0.27211425,0.27922294,-0.0071086884
1482,23,34,0.27472097,0.2818298,-0.0071088374
2052,35,58,0.27257532,0.27970526,-0.0071299374
4272,26,22,0.2747517,0.2818925,-0.0071408153
1625,26,27,0.27890375,0.28605053,-0.0071467757
4478,30,26,0.27490652,0.2820597,-0.007153183
2392,45,53,0.2779615,0.28511572,-0.0071542263
2028,34,74,0.27716407,0.2843199,-0.0071558356
2134,37,63,0.26940113,0.2765756,-0.007174462
1724,28,31,0.27365938,0.28085127,-0.0071918964
2876,27,0,0.27174166,0.2789423,-0.0072006285
774,11,16,0.2787044,0.28590545,-0.0072010458
4438,39,25,0.27046388,0.27766582,-0.00720194
2164,38,56,0.27076954,0.2779809,-0.0072113574
4929,46,36,0.27380088,0.2810123,-0.007211417
3584,40,10,0.26734263,0.27455884,-0.007216215
4821,58,33,0.27336916,0.28059813,-0.0072289705
4894,50,35,0.27371413,0.28095305,-0.0072389245
2821,67,75,0.2758088,0.28304964,-0.007240832
1384,21,41,0.2804197,0.28766915,-0.0072494447
2774,63,66,0.26918417,0.27643374,-0.007249564
3409,63,7,0.27881983,0.2860775,-0.00725767
1808,29,69,0.28185657,0.28911564,-0.007259071
3578,34,10,0.27099085,0.27825615,-0.0072652996
1432,22,36,0.27306738,0.28033444,-0.007267058
1902,31,74,0.27704954,0.2843171,-0.0072675645
210,2,64,0.27625635,0.2835243,-0.007267952
5378,54,50,0.27350634,0.28077656,-0.007270217
1560,24,61,0.2746019,0.28187922,-0.00727731
5637,68,64,0.27426502,0.2815439,-0.0072788894
5024,66,38,0.27976254,0.28704152,-0.007278979
316,4,27,0.27297696,0.28026515,-0.0072881877
4206,67,20,0.2730094,0.28030103,-0.007291645
77,1,4,0.2770804,0.2843827,-0.007302314
3910,56,15,0.27015063,0.27746245,-0.007311821
2252,40,73,0.27723444,0.28454772,-0.0073132813
147,1,74,0.27585942,0.28318903,-0.007329613
2011,34,57,0.2770747,0.28440475,-0.00733006
5126,63,41,0.27226776,0.27959856,-0.007330805
5312,66,47,0.2771185,0.28444937,-0.0073308647
5352,53,49,0.27763325,0.28496715,-0.0073339045
2281,41,68,0.28526735,0.29260275,-0.0073353946
1672,26,74,0.27389365,0.28123048,-0.007336825
1893,31,65,0.2783624,0.28569987,-0.007337481
758,10,64,0.27794302,0.28529483,-0.0073518157
1030,15,26,0.27435786,0.2817101,-0.007352233
4757,36,32,0.27462366,0.28198558,-0.0073619187
3436,23,8,0.27678722,0.28414944,-0.0073622167
3711,40,12,0.27705207,0.28441554,-0.0073634684
4377,28,24,0.27909875,0.2864625,-0.0073637366
5613,67,62,0.27505788,0.28242218,-0.007364303
1438,22,42,0.27699697,0.2843653,-0.007368326
218,2,72,0.27753305,0.2849026,-0.007369548
285,3,67,0.27235112,0.27972218,-0.007371068
680,9,51,0.2801953,0.28757346,-0.007378161
1313,20,24,0.28085804,0.28824496,-0.007386923
886,12,65,0.27449733,0.28188518,-0.0073878467
2245,40,66,0.27811283,0.28550103,-0.0073882043
771,11,13,0.27367914,0.28107446,-0.007395327
3650,42,11,0.27020863,0.27761218,-0.0074035525
1982,33,69,0.2819673,0.28937095,-0.007403642
1557,24,58,0.27855176,0.28595653,-0.0074047744
99,1,26,0.274818,0.2822257,-0.007407695
1527,24,28,0.27379027,0.28120345,-0.0074131787
4413,64,24,0.27033064,0.27774614,-0.0074155033
2297,42,51,0.27791217,0.28533867,-0.0074265003
1946,32,75,0.2734496,0.2808848,-0.0074352026
2822,68,69,0.27713326,0.28457147,-0.0074382126
621,8,58,0.275634,0.28309017,-0.0074561834
5287,69,46,0.27397233,0.2814407,-0.0074683726
2730,60,61,0.27192378,0.27939817,-0.0074743927
373,5,14,0.27198222,0.27946356,-0.0074813366
897,13,14,0.27258644,0.2800716,-0.0074851513
365,5,6,0.27183694,0.2793243,-0.0074873567
20,0,21,0.27820945,0.28569886,-0.007489413
4620,31,29,0.2747393,0.28225273,-0.0075134337
2390,45,51,0.27638453,0.28390592,-0.007521391
2733,60,64,0.2756191,0.2831426,-0.007523507
4325,27,23,0.27562493,0.28315356,-0.007528633
3424,11,8,0.27643737,0.28396842,-0.007531047
5261,72,45,0.28022423,0.2877555,-0.0075312555
606,8,43,0.2753348,0.28287756,-0.007542759
5395,71,50,0.27234516,0.27988845,-0.0075432956
2866,17,0,0.27510533,0.28264922,-0.0075438917
4100,72,18,0.2701233,0.2776732,-0.0075499117
4582,39,28,0.27647978,0.28403127,-0.0075514913
499,6,71,0.27581123,0.28337356,-0.0075623393
3528,49,9,0.2777183,0.28528193,-0.007563621
4497,49,26,0.27566776,0.28323352,-0.0075657666
1924,32,53,0.27654645,0.2841168,-0.007570356
3354,8,7,0.27427667,0.28185067,-0.007573992
3244,35,5,0.27352238,0.2810991,-0.007576734
5676,73,68,0.2740727,0.2816667,-0.0075939894
5538,67,57,0.27754277,0.28514168,-0.0075989068
55,0,56,0.27773097,0.28533345,-0.007602483
1011,14,67,0.27223104,0.27983624,-0.007605195
265,3,47,0.27801627,0.28562412,-0.0076078475
1186,17,65,0.27341858,0.28105715,-0.0076385736
5610,64,62,0.2752387,0.2828782,-0.0076394975
5456,63,53,0.27717516,0.28483394,-0.0076587796
4877,73,34,0.2780745,0.2857386,-0.0076640844
1609,25,60,0.27460647,0.28228176,-0.00767529
5236,47,45,0.2756532,0.28333166,-0.007678449
4089,61,18,0.27363575,0.28131688,-0.0076811314
5175,47,43,0.2761892,0.28387085,-0.007681638
4869,65,34,0.27043474,0.27812627,-0.0076915324
4016,45,17,0.2777183,0.2854099,-0.007691592
4231,38,21,0.27512687,0.28281936,-0.007692486
1774,29,35,0.27793837,0.28563106,-0.0076926947
4513,65,26,0.27246255,0.28016156,-0.0076990128
2221,40,42,0.2777365,0.28543913,-0.007702619
4855,51,34,0.27794272,0.2856456,-0.007702887
1654,26,56,0.27413848,0.2818486,-0.007710129
2374,44,65,0.27526528,0.28299895,-0.007733673
137,1,64,0.27886242,0.28662843,-0.0077660084
382,5,23,0.27904144,0.2868148,-0.0077733696
2100,36,67,0.27242905,0.28021023,-0.0077811778
4983,62,37,0.27650028,0.28428745,-0.007787168
287,3,69,0.27572405,0.28351542,-0.00779137
1768,28,75,0.27454868,0.28235093,-0.007802248
4892,48,35,0.27410716,0.28191897,-0.0078118145
5476,62,54,0.27844656,0.28626645,-0.007819891
375,5,16,0.27710253,0.28494528,-0.007842749
61,0,62,0.2723285,0.28017572,-0.00784722
2921,72,0,0.26571256,0.27356407,-0.007851511
687,9,58,0.27388108,0.2817364,-0.007855326
3644,36,11,0.27161223,0.27947587,-0.007863641
5458,65,53,0.27598757,0.28386435,-0.007876784
2986,63,1,0.27522197,0.28311616,-0.007894188
5486,72,54,0.27302924,0.28092918,-0.00789994
4527,31,27,0.276655,0.2845563,-0.007901311
2883,34,0,0.27109885,0.27900693,-0.007908076
2301,42,55,0.27358457,0.28150284,-0.007918268
3918,64,15,0.27784654,0.28576848,-0.007921934
5265,47,46,0.27049324,0.27842382,-0.007930577
1949,33,36,0.27334625,0.28128713,-0.007940888
589,8,26,0.27452734,0.28247085,-0.007943511
3984,71,16,0.2743878,0.28233397,-0.007946163
5089,60,40,0.27718958,0.28513965,-0.0079500675
1681,27,35,0.27600312,0.2839727,-0.007969588
2364,44,55,0.2762488,0.28422344,-0.007974625
4131,47,19,0.27310303,0.2810795,-0.007976472
3935,22,16,0.27905658,0.28703624,-0.007979661
561,7,65,0.27374962,0.28173095,-0.00798133
1326,20,37,0.2770177,0.2850006,-0.00798288
3238,29,5,0.27605155,0.28403527,-0.007983714
2101,36,68,0.27284825,0.28083527,-0.007987022
864,12,43,0.27844408,0.28644913,-0.008005053
4919,75,35,0.2786198,0.28663558,-0.008015782
3774,41,13,0.27076262,0.278796,-0.008033365
902,13,19,0.2686373,0.27669236,-0.008055061
