Node,Layer,Metric,Control,EM,Delta,Cohort
1,rsfMRI,Degree_mean,74.66666666666667,74.52413793103449,0.14252873563218316,HCB
1,rsfMRI,Eigenvector_mean,0.11982794536755417,0.11764340966306246,0.0021845357044917163,HCB
1,rsfMRI,Strength_mean,44.856691360573485,44.13982061922833,0.7168707413451543,HCB
2,FA,Betweenness_mean,0.03781781781781782,0.0322112457284871,0.005606572089330714,HCB
2,FA,Closeness_mean,0.6995055588899368,0.699272375561575,0.0002331833283618634,HCB
2,FA,Degree_mean,42.77777777777778,42.73103448275862,0.046743295019155084,HCB
2,FA,Eigenvector_mean,0.09684069074135071,0.09622515854202278,0.0006155321993279311,HCB
2,FA,Strength_mean,27.989279909264717,28.063738228543933,-0.07445831927921631,HCB
2,GM,Betweenness_mean,0.0038558558558558567,0.02861509785647717,-0.024759242000621313,HCB
2,GM,Closeness_mean,0.6944444444444444,0.692650985754655,0.0017934586897894178,HCB
2,GM,Degree_mean,42.0,41.710344827586205,0.289655172413795,HCB
2,GM,Eigenvector_mean,0.07047764870525462,0.07627385232098137,-0.005796203615726747,HCB
2,GM,Strength_mean,27.471335055611735,29.75196685696708,-2.2806318013553444,HCB
2,rsfMRI,Betweenness_mean,0.013633633633633633,0.0160273376825101,-0.002393704048876467,HCB
2,rsfMRI,Closeness_mean,0.9956892522681997,0.9941041317351977,0.0015851205330019713,HCB
2,rsfMRI,Degree_mean,74.66666666666667,74.52413793103449,0.14252873563218316,HCB
2,rsfMRI,Eigenvector_mean,0.11508985626130877,0.11667123932489726,-0.0015813830635884873,HCB
2,rsfMRI,Strength_mean,43.18118437142425,43.43854808692099,-0.2573637154967372,HCB
3,FA,Betweenness_mean,0.050350350350350355,0.016039763901832867,0.03431058644851749,HCB
3,FA,Closeness_mean,0.5885241354611207,0.5900503697638949,-0.0015262343027742098,HCB
3,FA,Degree_mean,23.555555555555557,23.889655172413793,-0.33409961685823575,HCB
3,FA,Eigenvector_mean,0.049023031266358465,0.049658435736636294,-0.0006354044702778297,HCB
3,FA,Strength_mean,14.10879825951881,14.36311500522377,-0.2543167457049602,HCB
3,GM,Betweenness_mean,0.008648648648648649,0.02345076110593352,-0.01480211245728487,HCB
3,GM,Closeness_mean,0.9986842105263157,0.9940107403961606,0.004673470130155177,HCB
3,GM,Degree_mean,74.9,74.48965517241379,0.41034482758621493,HCB
3,GM,Eigenvector_mean,0.13197164862866612,0.1332377092816205,-0.0012660606529543705,HCB
3,GM,Strength_mean,57.126761243855334,57.79987340304792,-0.6731121591925842,HCB
3,rsfMRI,Betweenness_mean,0.01665665665665666,0.03274557315936626,-0.016088916502709605,HCB
3,rsfMRI,Closeness_mean,0.9992690058479532,0.9936662875787138,0.005602718269239415,HCB
3,rsfMRI,Degree_mean,74.94444444444444,74.48965517241379,0.4547892720306521,HCB
3,rsfMRI,Eigenvector_mean,0.10356041203335463,0.10326388785894736,0.00029652417440727274,HCB
