Node,Group,Layer,Metric,Value
57,Control,MULTINEXT,Degree_mean,148.5
57,EM,MULTILAYER,Degree_mean,149.06896551724137
57,EM,MULTINEXT,Degree_mean,149.06896551724137
58,Control,MULTILAYER,Degree_mean,130.1
58,Control,MULTINEXT,Degree_mean,130.1
58,EM,MULTILAYER,Degree_mean,130.15862068965518
58,EM,MULTINEXT,Degree_mean,130.15862068965518
59,Control,MULTILAYER,Degree_mean,142.6
59,Control,MULTINEXT,Degree_mean,142.6
59,EM,MULTILAYER,Degree_mean,142.04137931034484
59,EM,MULTINEXT,Degree_mean,142.04137931034484
60,Control,MULTILAYER,Degree_mean,140.8
60,Control,MULTINEXT,Degree_mean,140.8
60,EM,MULTILAYER,Degree_mean,140.04137931034484
60,EM,MULTINEXT,Degree_mean,140.04137931034484
61,Control,MULTILAYER,Degree_mean,132.9
61,Control,MULTINEXT,Degree_mean,132.9
61,EM,MULTILAYER,Degree_mean,133.15862068965518
61,EM,MULTINEXT,Degree_mean,133.15862068965518
62,Control,MULTILAYER,Degree_mean,141.1
62,Control,MULTINEXT,Degree_mean,141.1
62,EM,MULTILAYER,Degree_mean,141.08275862068965
62,EM,MULTINEXT,Degree_mean,141.08275862068965
63,Control,MULTILAYER,Degree_mean,134.8
63,Control,MULTINEXT,Degree_mean,134.8
63,EM,MULTILAYER,Degree_mean,135.15172413793104
63,EM,MULTINEXT,Degree_mean,135.15172413793104
64,Control,MULTILAYER,Degree_mean,146.1
64,Control,MULTINEXT,Degree_mean,146.1
64,EM,MULTILAYER,Degree_mean,146.04827586206898
64,EM,MULTINEXT,Degree_mean,146.04827586206898
65,Control,MULTILAYER,Degree_mean,142.7
65,Control,MULTINEXT,Degree_mean,142.7
65,EM,MULTILAYER,Degree_mean,142.0344827586207
65,EM,MULTINEXT,Degree_mean,142.0344827586207
66,Control,MULTILAYER,Degree_mean,148.3
66,Control,MULTINEXT,Degree_mean,148.3
66,EM,MULTILAYER,Degree_mean,148.02758620689656
66,EM,MULTINEXT,Degree_mean,148.02758620689656
67,Control,MULTILAYER,Degree_mean,148.4
67,Control,MULTINEXT,Degree_mean,148.4
67,EM,MULTILAYER,Degree_mean,148.01379310344828
67,EM,MULTINEXT,Degree_mean,148.01379310344828
68,Control,MULTILAYER,Degree_mean,138.8
68,Control,MULTINEXT,Degree_mean,138.8
68,EM,MULTILAYER,Degree_mean,139.13793103448276
68,EM,MULTINEXT,Degree_mean,139.13793103448276
69,Control,MULTILAYER,Degree_mean,143.5
69,Control,MULTINEXT,Degree_mean,143.5
69,EM,MULTILAYER,Degree_mean,143.04137931034484
69,EM,MULTINEXT,Degree_mean,143.04137931034484
70,Control,MULTILAYER,Degree_mean,146.6
70,Control,MULTINEXT,Degree_mean,146.6
70,EM,MULTILAYER,Degree_mean,146.01379310344828
70,EM,MULTINEXT,Degree_mean,146.01379310344828
71,Control,MULTILAYER,Degree_mean,147.9
71,Control,MULTINEXT,Degree_mean,147.9
71,EM,MULTILAYER,Degree_mean,148.04827586206898
71,EM,MULTINEXT,Degree_mean,148.04827586206898
72,Control,MULTILAYER,Degree_mean,149.5
72,Control,MULTINEXT,Degree_mean,149.5
72,EM,MULTILAYER,Degree_mean,149.0
72,EM,MULTINEXT,Degree_mean,149.0
73,Control,MULTILAYER,Degree_mean,148.9
73,Control,MULTINEXT,Degree_mean,148.9
73,EM,MULTILAYER,Degree_mean,147.97931034482758
73,EM,MULTINEXT,Degree_mean,147.97931034482758
74,Control,MULTILAYER,Degree_mean,133.5
74,Control,MULTINEXT,Degree_mean,133.5
74,EM,MULTILAYER,Degree_mean,133.1103448275862
74,EM,MULTINEXT,Degree_mean,133.1103448275862
75,Control,MULTILAYER,Degree_mean,147.6
75,Control,MULTINEXT,Degree_mean,147.6
75,EM,MULTILAYER,Degree_mean,147.00689655172414
75,EM,MULTINEXT,Degree_mean,147.00689655172414
76,Control,MULTILAYER,Degree_mean,138.0
76,Control,MULTINEXT,Degree_mean,138.0
76,EM,MULTILAYER,Degree_mean,137.09655172413792
76,EM,MULTINEXT,Degree_mean,137.09655172413792
77,Control,MULTILAYER,Degree_mean,140.7
77,Control,MULTINEXT,Degree_mean,140.7
77,EM,MULTILAYER,Degree_mean,140.0758620689655
77,EM,MULTINEXT,Degree_mean,140.0758620689655
78,Control,MULTILAYER,Degree_mean,144.0
78,Control,MULTINEXT,Degree_mean,144.0
78,EM,MULTILAYER,Degree_mean,143.04827586206898
78,EM,MULTINEXT,Degree_mean,143.04827586206898
79,Control,MULTILAYER,Degree_mean,128.7
79,Control,MULTINEXT,Degree_mean,128.7
79,EM,MULTILAYER,Degree_mean,128.1448275862069
79,EM,MULTINEXT,Degree_mean,128.1448275862069
80,Control,MULTILAYER,Degree_mean,142.9
80,Control,MULTINEXT,Degree_mean,142.9
80,EM,MULTILAYER,Degree_mean,142.0344827586207
80,EM,MULTINEXT,Degree_mean,142.0344827586207
81,Control,MULTILAYER,Degree_mean,149.0
81,Control,MULTINEXT,Degree_mean,149.0
81,EM,MULTILAYER,Degree_mean,148.04827586206898
81,EM,MULTINEXT,Degree_mean,148.04827586206898
82,Control,MULTILAYER,Degree_mean,146.8
82,Control,MULTINEXT,Degree_mean,146.8
82,EM,MULTILAYER,Degree_mean,146.00689655172414
82,EM,MULTINEXT,Degree_mean,146.00689655172414
83,Control,MULTILAYER,Degree_mean,145.7
83,Control,MULTINEXT,Degree_mean,145.7
83,EM,MULTILAYER,Degree_mean,145.04137931034484
