Node,Group,Layer,Metric,Value
34,Control,GM,Degree_mean,74.6
34,Control,rsfMRI,Degree_mean,74.83333333333333
34,EM,FA,Degree_mean,74.55862068965517
34,EM,GM,Degree_mean,74.51034482758621
34,EM,rsfMRI,Degree_mean,74.50344827586207
35,Control,FA,Degree_mean,72.77777777777777
35,Control,GM,Degree_mean,74.7
35,Control,rsfMRI,Degree_mean,74.88888888888889
35,EM,FA,Degree_mean,72.52413793103449
35,EM,GM,Degree_mean,74.50344827586207
35,EM,rsfMRI,Degree_mean,74.49655172413793
36,Control,FA,Degree_mean,64.66666666666667
36,Control,GM,Degree_mean,74.3
36,Control,rsfMRI,Degree_mean,74.83333333333333
36,EM,FA,Degree_mean,64.59310344827587
36,EM,GM,Degree_mean,74.53103448275863
36,EM,rsfMRI,Degree_mean,74.50344827586207
37,Control,FA,Degree_mean,67.72222222222223
37,Control,GM,Degree_mean,74.5
37,Control,rsfMRI,Degree_mean,75.0
37,EM,FA,Degree_mean,67.56551724137931
37,EM,GM,Degree_mean,74.51724137931035
37,EM,rsfMRI,Degree_mean,74.48275862068965
38,Control,FA,Degree_mean,74.77777777777777
38,Control,GM,Degree_mean,74.2
38,Control,rsfMRI,Degree_mean,74.77777777777777
38,EM,FA,Degree_mean,74.51034482758621
38,EM,GM,Degree_mean,74.53793103448275
38,EM,rsfMRI,Degree_mean,74.51034482758621
39,Control,FA,Degree_mean,73.55555555555556
39,Control,GM,Degree_mean,74.8
39,Control,rsfMRI,Degree_mean,74.66666666666667
39,EM,FA,Degree_mean,73.54482758620689
39,EM,GM,Degree_mean,74.49655172413793
39,EM,rsfMRI,Degree_mean,74.52413793103449
40,Control,FA,Degree_mean,74.66666666666667
40,Control,GM,Degree_mean,74.3
40,Control,rsfMRI,Degree_mean,74.66666666666667
40,EM,FA,Degree_mean,74.52413793103449
40,EM,GM,Degree_mean,74.53103448275863
40,EM,rsfMRI,Degree_mean,74.52413793103449
41,Control,FA,Degree_mean,74.83333333333333
41,Control,GM,Degree_mean,74.8
41,Control,rsfMRI,Degree_mean,75.0
41,EM,FA,Degree_mean,74.50344827586207
41,EM,GM,Degree_mean,74.49655172413793
41,EM,rsfMRI,Degree_mean,74.48275862068965
42,Control,FA,Degree_mean,72.77777777777777
42,Control,GM,Degree_mean,74.2
42,Control,rsfMRI,Degree_mean,74.88888888888889
42,EM,FA,Degree_mean,72.52413793103449
42,EM,GM,Degree_mean,74.53793103448275
42,EM,rsfMRI,Degree_mean,74.49655172413793
43,Control,FA,Degree_mean,65.61111111111111
43,Control,GM,Degree_mean,74.8
43,Control,rsfMRI,Degree_mean,75.0
43,EM,FA,Degree_mean,65.59310344827587
43,EM,GM,Degree_mean,74.49655172413793
43,EM,rsfMRI,Degree_mean,74.48275862068965
44,Control,FA,Degree_mean,65.83333333333333
44,Control,GM,Degree_mean,74.4
44,Control,rsfMRI,Degree_mean,74.77777777777777
44,EM,FA,Degree_mean,65.56551724137931
44,EM,GM,Degree_mean,74.52413793103449
44,EM,rsfMRI,Degree_mean,74.51034482758621
45,Control,FA,Degree_mean,60.94444444444444
45,Control,GM,Degree_mean,74.5
45,Control,rsfMRI,Degree_mean,75.0
45,EM,FA,Degree_mean,60.58620689655172
45,EM,GM,Degree_mean,74.51724137931035
45,EM,rsfMRI,Degree_mean,74.48275862068965
46,Control,FA,Degree_mean,66.94444444444444
46,Control,GM,Degree_mean,73.9
46,Control,rsfMRI,Degree_mean,74.72222222222223
46,EM,FA,Degree_mean,66.54482758620689
46,EM,GM,Degree_mean,74.55862068965517
46,EM,rsfMRI,Degree_mean,74.51724137931035
47,Control,FA,Degree_mean,68.88888888888889
47,Control,GM,Degree_mean,74.4
47,Control,rsfMRI,Degree_mean,74.88888888888889
47,EM,FA,Degree_mean,68.53793103448275
47,EM,GM,Degree_mean,74.52413793103449
47,EM,rsfMRI,Degree_mean,74.49655172413793
48,Control,FA,Degree_mean,46.94444444444444
48,Control,GM,Degree_mean,74.5
48,Control,rsfMRI,Degree_mean,74.61111111111111
48,EM,FA,Degree_mean,46.682758620689654
48,EM,GM,Degree_mean,74.51724137931035
48,EM,rsfMRI,Degree_mean,74.53103448275863
49,Control,FA,Degree_mean,62.94444444444444
49,Control,GM,Degree_mean,74.7
49,Control,rsfMRI,Degree_mean,74.77777777777777
49,EM,FA,Degree_mean,62.57241379310345
49,EM,GM,Degree_mean,74.50344827586207
49,EM,rsfMRI,Degree_mean,74.51034482758621
50,Control,FA,Degree_mean,73.94444444444444
50,Control,GM,Degree_mean,74.8
50,Control,rsfMRI,Degree_mean,74.61111111111111
50,EM,FA,Degree_mean,73.49655172413793
50,EM,GM,Degree_mean,74.49655172413793
50,EM,rsfMRI,Degree_mean,74.53103448275863
51,Control,FA,Degree_mean,71.83333333333333
51,Control,GM,Degree_mean,74.5
51,Control,rsfMRI,Degree_mean,74.83333333333333
51,EM,FA,Degree_mean,71.52413793103449
51,EM,GM,Degree_mean,74.51724137931035
51,EM,rsfMRI,Degree_mean,74.50344827586207
52,Control,FA,Degree_mean,71.88888888888889
52,Control,GM,Degree_mean,74.7
52,Control,rsfMRI,Degree_mean,74.88888888888889
52,EM,FA,Degree_mean,71.51724137931035
52,EM,GM,Degree_mean,74.50344827586207
52,EM,rsfMRI,Degree_mean,74.49655172413793
53,Control,FA,Degree_mean,70.94444444444444
53,Control,GM,Degree_mean,74.6
53,Control,rsfMRI,Degree_mean,74.66666666666667
53,EM,FA,Degree_mean,70.51724137931035
53,EM,GM,Degree_mean,74.51034482758621
53,EM,rsfMRI,Degree_mean,74.52413793103449
54,Control,FA,Degree_mean,70.88888888888889
54,Control,GM,Degree_mean,74.1
54,Control,rsfMRI,Degree_mean,74.88888888888889
54,EM,FA,Degree_mean,70.52413793103449
54,EM,GM,Degree_mean,74.54482758620689
54,EM,rsfMRI,Degree_mean,74.49655172413793
55,Control,FA,Degree_mean,62.888888888888886
55,Control,GM,Degree_mean,74.8
55,Control,rsfMRI,Degree_mean,74.55555555555556
55,EM,FA,Degree_mean,62.57931034482758
55,EM,GM,Degree_mean,74.49655172413793
55,EM,rsfMRI,Degree_mean,74.53793103448275
56,Control,FA,Degree_mean,74.83333333333333
56,Control,GM,Degree_mean,74.1
56,Control,rsfMRI,Degree_mean,74.94444444444444
56,EM,FA,Degree_mean,74.50344827586207
56,EM,GM,Degree_mean,74.54482758620689
56,EM,rsfMRI,Degree_mean,74.48965517241379
57,Control,FA,Degree_mean,74.88888888888889
57,Control,GM,Degree_mean,73.7
57,Control,rsfMRI,Degree_mean,74.88888888888889
57,EM,FA,Degree_mean,74.49655172413793
57,EM,GM,Degree_mean,74.57241379310345
57,EM,rsfMRI,Degree_mean,74.49655172413793
58,Control,FA,Degree_mean,55.833333333333336
58,Control,GM,Degree_mean,74.4
58,Control,rsfMRI,Degree_mean,74.72222222222223
58,EM,FA,Degree_mean,55.63448275862069
58,EM,GM,Degree_mean,74.52413793103449
58,EM,rsfMRI,Degree_mean,74.51724137931035
59,Control,FA,Degree_mean,67.94444444444444
59,Control,GM,Degree_mean,74.7
59,Control,rsfMRI,Degree_mean,74.72222222222223
59,EM,FA,Degree_mean,67.53793103448275
59,EM,GM,Degree_mean,74.50344827586207
59,EM,rsfMRI,Degree_mean,74.51724137931035
60,Control,FA,Degree_mean,66.0
60,Control,GM,Degree_mean,74.8
60,Control,rsfMRI,Degree_mean,74.83333333333333
60,EM,FA,Degree_mean,65.54482758620689
60,EM,GM,Degree_mean,74.49655172413793
60,EM,rsfMRI,Degree_mean,74.50344827586207
61,Control,FA,Degree_mean,58.833333333333336
61,Control,GM,Degree_mean,74.1
61,Control,rsfMRI,Degree_mean,74.94444444444444
61,EM,FA,Degree_mean,58.61379310344827
61,EM,GM,Degree_mean,74.54482758620689
61,EM,rsfMRI,Degree_mean,74.48965517241379
62,Control,FA,Degree_mean,67.0
62,Control,GM,Degree_mean,74.1
62,Control,rsfMRI,Degree_mean,74.77777777777777
62,EM,FA,Degree_mean,66.53793103448275
62,EM,GM,Degree_mean,74.54482758620689
62,EM,rsfMRI,Degree_mean,74.51034482758621
63,Control,FA,Degree_mean,60.77777777777778
63,Control,GM,Degree_mean,74.1
63,Control,rsfMRI,Degree_mean,74.66666666666667
63,EM,FA,Degree_mean,60.60689655172414
63,EM,GM,Degree_mean,74.54482758620689
63,EM,rsfMRI,Degree_mean,74.52413793103449
64,Control,FA,Degree_mean,71.88888888888889
64,Control,GM,Degree_mean,74.3
64,Control,rsfMRI,Degree_mean,74.94444444444444
64,EM,FA,Degree_mean,71.51724137931035
64,EM,GM,Degree_mean,74.53103448275863
64,EM,rsfMRI,Degree_mean,74.48965517241379
65,Control,FA,Degree_mean,68.0
65,Control,GM,Degree_mean,74.7
65,Control,rsfMRI,Degree_mean,74.72222222222223
65,EM,FA,Degree_mean,67.53103448275863
65,EM,GM,Degree_mean,74.50344827586207
