Node,Layer,Metric,Control,EM,Diff_EM_minus_Control
6,rsfMRI,Closeness_mean,0.9985380116959064,0.993762691000591,-0.004775320695315388
6,rsfMRI,Closeness_std,0.0042550109655497,0.0198962847616918,0.0156412737961421
6,rsfMRI,Degree_mean,74.88888888888889,74.49655172413793,-0.3923371647509555
6,rsfMRI,Degree_std,0.3233808333817787,1.6462252188763131,1.3228443854945344
6,rsfMRI,Eigenvector_mean,0.1137382253853841,0.1148760706635152,0.0011378452781311
6,rsfMRI,Eigenvector_std,0.0161113844668344,0.0140886104282484,-0.0020227740385860005
6,rsfMRI,Strength_mean,42.95841298993353,43.14077789708112,0.18236490714759412
6,rsfMRI,Strength_std,8.381560432918961,7.420787878550378,-0.9607725543685834
7,FA,Betweenness_mean,0.0034234234234234,0.0090935073004038,0.005670083876980399
7,FA,Betweenness_std,0.0093630487016471,0.0260945241820572,0.0167314754804101
7,FA,Closeness_mean,0.948048523206751,0.9440862933544636,-0.003962229852287447
7,FA,Closeness_std,0.0038375890037394,0.0184204802195021,0.0145828912157627
7,FA,Degree_mean,70.88888888888889,70.52413793103449,-0.3647509578543975
7,FA,Degree_std,0.3233808333817785,1.7562695575055365,1.432888724123758
7,FA,Eigenvector_mean,0.1257491338744233,0.1242594219527206,-0.001489711921702691
7,FA,Eigenvector_std,0.006392204887502,0.0078187397182092,0.0014265348307072002
7,FA,Strength_mean,40.867678685753,40.410105334672544,-0.4575733510804554
7,FA,Strength_std,5.532332358855273,6.867159983958948,1.3348276251036753
7,GM,Betweenness_mean,0.0761081081081081,0.0401018949984467,-0.0360062131096614
7,GM,Betweenness_std,0.095592192341247,0.0815563172325423,-0.014035875108704701
7,GM,Closeness_mean,0.9908578263841422,0.994029136403676,0.0031713100195337462
7,GM,Closeness_std,0.010712906276965,0.0150976782307772,0.0043847719538121985
7,GM,Degree_mean,74.3,74.53103448275863,0.2310344827586306
7,GM,Degree_std,0.8232726023485648,1.2250576653875958,0.40178506303903094
7,GM,Eigenvector_mean,0.1045775291580833,0.1074041512020472,0.002826622043963903
7,GM,Eigenvector_std,0.0307586929440641,0.034790684053491,0.0040319911094269
7,GM,Strength_mean,26.1555616900463,27.72923889398819,1.5736772039418874
7,GM,Strength_std,6.6490444495477,10.662418264020928,4.013373814473228
7,rsfMRI,Betweenness_mean,0.0118718718718718,0.0133233923578751,0.0014515204860032997
7,rsfMRI,Betweenness_std,0.025524598630261,0.0307885566923951,0.0052639580621341026
7,rsfMRI,Closeness_mean,0.9963830029619504,0.993891313405995,-0.0024916895559553565
7,rsfMRI,Closeness_std,0.0087007174423109,0.0164833760830343,0.007782658640723399
7,rsfMRI,Degree_mean,74.72222222222223,74.51724137931035,-0.2049808429118798
7,rsfMRI,Degree_std,0.6691131580686895,1.3234185965178185,0.6543054384491289
7,rsfMRI,Eigenvector_mean,0.108316067546566,0.1112685449951826,0.0029524774486165972
7,rsfMRI,Eigenvector_std,0.012327707892448,0.0134159369035235,0.0010882290110755012
7,rsfMRI,Strength_mean,40.779540658068775,41.90062322949074,1.1210825714219652
7,rsfMRI,Strength_std,8.277546848771902,7.60973257268532,-0.667814276086582
8,FA,Betweenness_mean,0.0028828828828828,0.0081515998757378,0.005268716992855001
8,FA,Betweenness_std,0.0034718907541217,0.0217567958834473,0.0182849051293256
8,FA,Closeness_mean,0.9601860867683654,0.9561451205239558,-0.004040966244409527
8,FA,Closeness_std,0.003935988721784,0.0205561621639406,0.016620173442156598
8,FA,Degree_mean,71.88888888888889,71.51724137931035,-0.371647509578537
8,FA,Degree_std,0.3233808333817786,2.0107469876331687,1.6873661542513902
8,FA,Eigenvector_mean,0.1213687696479934,0.1193297165665959,-0.002039053081397499
8,FA,Eigenvector_std,0.0070068954233301,0.0106794066193102,0.003672511195980099
8,FA,Strength_mean,39.929867618698985,39.178628985054566,-0.7512386336444195
8,FA,Strength_std,5.483859295337608,6.800241431457053,1.3163821361194445
8,GM,Betweenness_mean,0.0281081081081081,0.024713264989127,-0.0033948431189810974
8,GM,Betweenness_std,0.0460105534098334,0.044297412603943,-0.001713140805890398
8,GM,Closeness_mean,0.9960526315789474,0.9935594443003296,-0.0024931872786178033
8,GM,Closeness_std,0.0063558669939427,0.0115579153079229,0.005202048313980199
8,GM,Degree_mean,74.7,74.50344827586207,-0.1965517241379331
8,GM,Degree_std,0.4830458915396486,0.8984874475954521,0.41544155605580346
8,GM,Eigenvector_mean,0.1176646914406673,0.115074978266491,-0.002589713174176292
8,GM,Eigenvector_std,0.0291908125360211,0.0234712367735466,-0.005719575762474498
