Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
Naples,MULTILAYER,Eigenvector_mean,54,0.07583360287026775,0.0856595350755406,-0.00982593220527285,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,41,0.07478916471908333,0.08436706097428756,-0.009577896255204235,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,9,0.07483417038542532,0.084320334045869,-0.009486163660443678,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,36,0.06961544550945463,0.07888968931766006,-0.009274243808205435,↓ in MS
Naples,MULTILAYER,Strength_mean,82,90.73168097092707,78.6534596994436,12.078221271483471,↑ in controls
Naples,MULTILAYER,Strength_mean,143,92.04328326758612,80.30887713929704,11.73440612828908,↑ in controls
Naples,MULTILAYER,Strength_mean,88,94.54931069275385,83.1600964720513,11.389214220702556,↑ in controls
Naples,MULTILAYER,Strength_mean,98,92.20147536402453,80.93253555412056,11.26893980990397,↑ in controls
Naples,MULTILAYER,Strength_mean,103,95.14047032321145,84.01464773172876,11.125822591482688,↑ in controls
Naples,MULTILAYER,Strength_mean,133,92.79470614319641,82.04854185553421,10.746164287662197,↑ in controls
Naples,MULTILAYER,Strength_mean,151,91.45738239032043,80.72868239637597,10.72869999394446,↑ in controls
Naples,MULTILAYER,Strength_mean,83,88.76290892061036,78.17105002984167,10.591858890768691,↑ in controls
Naples,MULTILAYER,Strength_mean,84,88.95523026421318,78.37365438333663,10.581575880876557,↑ in controls
Naples,MULTILAYER,Strength_mean,102,91.5710784470966,81.35950566081588,10.211572786280712,↑ in controls
Naples,MULTINEXT,Betweenness_mean,44,0.0003766560005163129,0.00044559585998110485,-6.893985946479194e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,120,0.00037780205044899253,0.0004454277898435762,-6.762573939458368e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,51,0.0004126008582301654,0.0004744709981926879,-6.187013996252253e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,132,0.0004130924365665432,0.0004742730089101593,-6.118057234361606e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,56,0.00041289828334008043,0.00047371578400211403,-6.08175006620336e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,35,0.00038004410235825323,0.00044049539481003346,-6.0451292451780235e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,38,0.0004516930589323977,0.0005118132230895839,-6.012016415718615e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,42,0.0004213141807817539,0.00048095242557887004,-5.963824479711616e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,39,0.00039451869611246726,0.0004540033786610606,-5.948468254859333e-05,↓ in MS
Naples,MULTINEXT,Betweenness_mean,37,0.0003847365156961684,0.00044408651683206706,-5.935000113589867e-05,↓ in MS
Naples,MULTINEXT,Closeness_mean,104,0.9842788425796554,0.9727871335749435,0.011491709004711859,↑ in controls
Naples,MULTINEXT,Closeness_mean,106,0.9780251623938991,0.9668181889895642,0.011206973404334963,↑ in controls
Naples,MULTINEXT,Closeness_mean,83,0.9715146250116174,0.9605671082668483,0.010947516744769126,↑ in controls
Naples,MULTINEXT,Closeness_mean,15,0.9247894183357492,0.9140074591663125,0.010781959169436695,↑ in controls
Naples,MULTINEXT,Closeness_mean,71,0.9836834674972083,0.9730022918654431,0.010681175631765183,↑ in controls
Naples,MULTINEXT,Closeness_mean,88,0.9835822742269656,0.9731077502703654,0.010474523956600201,↑ in controls
Naples,MULTINEXT,Closeness_mean,60,0.9358194185187473,0.9253657588518127,0.010453659666934567,↑ in controls
Naples,MULTINEXT,Closeness_mean,149,0.9834599698330129,0.9730564237937772,0.010403546039235656,↑ in controls
Naples,MULTINEXT,Closeness_mean,66,0.9774268461230327,0.9670609078359209,0.010365938287111742,↑ in controls
Naples,MULTINEXT,Closeness_mean,62,0.9190509265443148,0.9087948276378295,0.010256098906485267,↑ in controls
Naples,MULTINEXT,Degree_mean,15,138.71698113207546,136.6153846153846,2.1015965166908472,↑ in controls
Naples,MULTINEXT,Degree_mean,106,147.60377358490567,145.55769230769232,2.0460812772133465,↑ in controls
Naples,MULTINEXT,Degree_mean,62,137.69811320754718,135.65384615384616,2.04426705370102,↑ in controls
Naples,MULTINEXT,Degree_mean,104,148.58490566037736,146.55769230769232,2.027213352685038,↑ in controls
Naples,MULTINEXT,Degree_mean,60,140.64150943396226,138.65384615384616,1.9876632801160952,↑ in controls
Naples,MULTINEXT,Degree_mean,83,146.56603773584905,144.6153846153846,1.9506531204644375,↑ in controls
Naples,MULTINEXT,Degree_mean,66,147.50943396226415,145.65384615384616,1.8555878084179938,↑ in controls
Naples,MULTINEXT,Degree_mean,71,148.49056603773585,146.65384615384616,1.8367198838896854,↑ in controls
Naples,MULTINEXT,Degree_mean,88,148.47169811320754,146.67307692307693,1.7986211901306035,↑ in controls
Naples,MULTINEXT,Degree_mean,126,149.45283018867926,147.67307692307693,1.7797532656023236,↑ in controls
