Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
26,FA,Degree_mean,67.90566037735849,66.78846153846153,1.1171988388969538,1.1171988388969538,Naples
71,FA,Degree_mean,67.88679245283019,66.8076923076923,1.079100145137886,1.079100145137886,Naples
30,FA,Degree_mean,68.86792452830188,67.8076923076923,1.0602322206095778,1.0602322206095778,Naples
72,FA,Degree_mean,67.86792452830188,66.82692307692308,1.0410014513788042,1.0410014513788042,Naples
40,FA,Degree_mean,72.81132075471699,71.78846153846153,1.0228592162554548,1.0228592162554548,Naples
43,FA,Eigenvector_mean,0.038034933308518704,0.04834247559729665,-0.010307542288777949,0.010307542288777949,Naples
22,FA,Eigenvector_mean,0.14589869688600893,0.1360268429693618,0.009871853916647133,0.009871853916647133,Naples
41,FA,Eigenvector_mean,0.11824848560291953,0.12677735939593934,-0.008528873793019809,0.008528873793019809,Naples
56,FA,Eigenvector_mean,0.09145247913214717,0.09990249612839511,-0.008450016996247936,0.008450016996247936,Naples
37,FA,Eigenvector_mean,0.0746184024881935,0.08305055730747705,-0.008432154819283555,0.008432154819283555,Naples
68,FA,Eigenvector_mean,0.08519515981760427,0.09329433472718612,-0.008099174909581855,0.008099174909581855,Naples
63,FA,Eigenvector_mean,0.09555216590455687,0.0881710814180891,0.007381084486467765,0.007381084486467765,Naples
11,FA,Eigenvector_mean,0.094937995356311,0.10187240163195498,-0.00693440627564397,0.00693440627564397,Naples
44,FA,Eigenvector_mean,0.06638829350084534,0.07324846408678855,-0.006860170585943209,0.006860170585943209,Naples
36,FA,Eigenvector_mean,0.05846720866959515,0.06510598202261861,-0.006638773353023458,0.006638773353023458,Naples
22,FA,Strength_mean,52.44349062892685,42.96026871678987,9.483221912136983,9.483221912136983,Naples
67,FA,Strength_mean,53.07073429193487,44.66928387257168,8.401450419363186,8.401450419363186,Naples
27,FA,Strength_mean,51.371340754644905,43.43228569401844,7.939055060626465,7.939055060626465,Naples
12,FA,Strength_mean,52.04358829383839,44.22090823077854,7.822680063059849,7.822680063059849,Naples
26,FA,Strength_mean,50.9597768444276,43.43771158540957,7.522065259018028,7.522065259018028,Naples
30,FA,Strength_mean,49.53585944499089,42.117053032500436,7.418806412490454,7.418806412490454,Naples
75,FA,Strength_mean,50.1939422791355,42.80405633535318,7.389885943782318,7.389885943782318,Naples
28,FA,Strength_mean,45.6445431088194,38.63717150140504,7.007371607414356,7.007371607414356,Naples
72,FA,Strength_mean,49.49627213809283,42.545119788911016,6.951152349181811,6.951152349181811,Naples
6,FA,Strength_mean,47.262683084480834,40.32979880741276,6.9328842770680765,6.9328842770680765,Naples
56,GM,Betweenness_mean,0.053285738568757436,0.001988911988911989,0.051296826579845446,0.051296826579845446,Naples
55,GM,Betweenness_mean,0.04970253272140065,0.003485793485793486,0.046216739235607165,0.046216739235607165,Naples
25,GM,Betweenness_mean,0.04515383307836138,0.003534303534303534,0.04161952954405784,0.04161952954405784,Naples
49,GM,Betweenness_mean,0.044235934047254795,0.0036382536382536385,0.040597680409001156,0.040597680409001156,Naples
31,GM,Betweenness_mean,0.0479347271800102,0.009896049896049898,0.0380386772839603,0.0380386772839603,Naples
1,GM,Betweenness_mean,0.039415264320924695,0.0014968814968814967,0.037918382824043195,0.037918382824043195,Naples
44,GM,Betweenness_mean,0.0564541900390957,0.019972279972279974,0.036481910066815726,0.036481910066815726,Naples
37,GM,Betweenness_mean,0.06326024137344893,0.029916839916839917,0.033343401456609016,0.033343401456609016,Naples
23,GM,Betweenness_mean,0.04738398776134625,0.016950796950796952,0.0304331908105493,0.0304331908105493,Naples
3,GM,Betweenness_mean,0.05307496175420704,0.023451143451143446,0.029623818303063595,0.029623818303063595,Naples
49,GM,Closeness_mean,0.9847214359371349,0.9977611079792958,-0.013039672042160944,0.013039672042160944,Naples
38,GM,Closeness_mean,0.9853038685209795,0.9969895994693565,-0.011685730948376993,0.011685730948376993,Naples
48,GM,Closeness_mean,0.9865229131892659,0.9980083175933377,-0.011485404404071864,0.011485404404071864,Naples
51,GM,Closeness_mean,0.9856533797366263,0.9965090705430478,-0.01085569080642157,0.01085569080642157,Naples
31,GM,Closeness_mean,0.9857225545127307,0.9962754984471277,-0.010552943934396986,0.010552943934396986,Naples
58,GM,Closeness_mean,0.987514099604467,0.9979888532520111,-0.010474753647544133,0.010474753647544133,Naples
7,GM,Closeness_mean,0.9869164189247293,0.9967878909129614,-0.009871471988232128,0.009871471988232128,Naples
53,GM,Closeness_mean,0.9862042657352553,0.9960229547780155,-0.009818689042760176,0.009818689042760176,Naples
12,GM,Closeness_mean,0.9863279010386458,0.9960941657828692,-0.009766264744223485,0.009766264744223485,Naples
74,GM,Closeness_mean,0.8821593578194771,0.8724003841630036,0.00975897365647349,0.00975897365647349,Naples
74,GM,Degree_mean,64.98113207547169,63.76923076923077,1.2119013062409252,1.2119013062409252,Naples
48,GM,Degree_mean,73.73584905660377,74.84615384615384,-1.1103047895500708,1.1103047895500708,Naples
58,GM,Degree_mean,73.73584905660377,74.84615384615384,-1.1103047895500708,1.1103047895500708,Naples
49,GM,Degree_mean,73.75471698113208,74.82692307692308,-1.0722060957910031,1.0722060957910031,Naples
29,GM,Degree_mean,67.84905660377359,66.84615384615384,1.0029027576197507,1.0029027576197507,Naples
38,GM,Degree_mean,73.81132075471699,74.76923076923077,-0.9579100145137858,0.9579100145137858,Naples
7,GM,Degree_mean,73.83018867924528,74.75,-0.919811320754718,0.919811320754718,Naples
59,GM,Degree_mean,71.75471698113208,70.86538461538461,0.8893323657474639,0.8893323657474639,Naples
51,GM,Degree_mean,73.84905660377359,74.73076923076923,-0.8817126269956361,0.8817126269956361,Naples
3,GM,Degree_mean,73.86792452830188,74.71153846153847,-0.8436139332365826,0.8436139332365826,Naples
64,GM,Eigenvector_mean,0.0825727057626408,0.09203218162389938,-0.009459475861258587,0.009459475861258587,Naples
60,GM,Eigenvector_mean,0.13376490354835985,0.12534847252717754,0.008416431021182308,0.008416431021182308,Naples
5,GM,Eigenvector_mean,0.13487274166070293,0.12728418580937015,0.007588555851332779,0.007588555851332779,Naples
38,GM,Eigenvector_mean,0.10110172223223263,0.10851466579453464,-0.007412943562302016,0.007412943562302016,Naples
31,GM,Eigenvector_mean,0.10267849374117806,0.10989109200402135,-0.007212598262843289,0.007212598262843289,Naples
17,GM,Eigenvector_mean,0.1290810135478787,0.12215934028413492,0.006921673263743794,0.006921673263743794,Naples
16,GM,Eigenvector_mean,0.13395308724107985,0.12723888618466084,0.006714201056419011,0.006714201056419011,Naples
51,GM,Eigenvector_mean,0.09894034814795369,0.10532492695580534,-0.0063845788078516486,0.0063845788078516486,Naples
55,GM,Eigenvector_mean,0.105500625429736,0.11186894537356964,-0.006368319943833647,0.006368319943833647,Naples
19,GM,Eigenvector_mean,0.10478310949280709,0.11064750882023114,-0.0058643993274240525,0.0058643993274240525,Naples
31,GM,Strength_mean,42.31361542069901,50.986508243121094,-8.672892822422085,8.672892822422085,Naples
38,GM,Strength_mean,41.77307458781385,50.41546544637261,-8.642390858558755,8.642390858558755,Naples
55,GM,Strength_mean,43.8128125941922,52.22157731284809,-8.408764718655888,8.408764718655888,Naples
64,GM,Strength_mean,35.44935334973107,43.54353568382838,-8.094182334097312,8.094182334097312,Naples
51,GM,Strength_mean,40.90652512863814,48.924092636677344,-8.017567508039207,8.017567508039207,Naples
19,GM,Strength_mean,44.66937240865931,52.01453792494729,-7.3451655162879845,7.3451655162879845,Naples
41,GM,Strength_mean,40.05557203473224,47.295701197344854,-7.240129162612611,7.240129162612611,Naples
67,GM,Strength_mean,46.235901609505625,53.455616376109525,-7.2197147666039,7.2197147666039,Naples
9,GM,Strength_mean,44.815510481923106,51.828533131023505,-7.0130226491003995,7.0130226491003995,Naples
14,GM,Strength_mean,43.45069370144435,50.426805157484736,-6.976111456040385,6.976111456040385,Naples
41,rsfMRI,Betweenness_mean,0.02755736868944416,0.055024255024255016,-0.027466886334810856,0.027466886334810856,Naples
58,rsfMRI,Betweenness_mean,0.014448410674825768,0.037796257796257796,-0.02334784712143203,0.02334784712143203,Naples
7,rsfMRI,Betweenness_mean,0.009369369369369369,0.029286209286209286,-0.019916839916839915,0.019916839916839915,Naples
33,rsfMRI,Betweenness_mean,0.023287438381778006,0.04199584199584199,-0.018708403614063986,0.018708403614063986,Naples
34,rsfMRI,Betweenness_mean,0.03572327044025157,0.05366597366597367,-0.017942703225722098,0.017942703225722098,Naples
11,rsfMRI,Betweenness_mean,0.03595444501104879,0.018156618156618155,0.017797826854430633,0.017797826854430633,Naples
47,rsfMRI,Betweenness_mean,0.029733129355770865,0.013035343035343037,0.01669778632042783,0.01669778632042783,Naples
35,rsfMRI,Betweenness_mean,0.015189529151793304,0.030977130977130975,-0.01578760182533767,0.01578760182533767,Naples
39,rsfMRI,Betweenness_mean,0.022287948325684172,0.037858627858627855,-0.015570679532943683,0.015570679532943683,Naples
29,rsfMRI,Betweenness_mean,0.006636070032296448,0.021926541926541927,-0.01529047189424548,0.01529047189424548,Naples
58,rsfMRI,Closeness_mean,0.995607185920562,0.9868528052943231,0.0087543806262389,0.0087543806262389,Naples
30,rsfMRI,Closeness_mean,0.9950858476181217,0.9869186997749458,0.008167147843175848,0.008167147843175848,Naples
7,rsfMRI,Closeness_mean,0.9951479131593333,0.9872050325233849,0.00794288063594839,0.00794288063594839,Naples
28,rsfMRI,Closeness_mean,0.995079895278505,0.9874290016135372,0.0076508936649678505,0.0076508936649678505,Naples
14,rsfMRI,Closeness_mean,0.9951300066946239,0.9876671907277884,0.007462815966835512,0.007462815966835512,Naples
59,rsfMRI,Closeness_mean,0.994508563307094,0.9881400378649485,0.006368525442145501,0.006368525442145501,Naples
18,rsfMRI,Closeness_mean,0.9884688358944582,0.994024207228225,-0.005555371333766823,0.005555371333766823,Naples
73,rsfMRI,Closeness_mean,0.9936834021571554,0.988142708047191,0.005540694109964495,0.005540694109964495,Naples
12,rsfMRI,Closeness_mean,0.9937006368442015,0.988381860562973,0.0053187762812285655,0.0053187762812285655,Naples
1,rsfMRI,Closeness_mean,0.9937311920305962,0.9885018215463647,0.005229370484231555,0.005229370484231555,Naples
58,rsfMRI,Degree_mean,74.66037735849056,73.90384615384616,0.7565312046444035,0.7565312046444035,Naples
7,rsfMRI,Degree_mean,74.62264150943396,73.9423076923077,0.6803338171262681,0.6803338171262681,Naples
14,rsfMRI,Degree_mean,74.62264150943396,73.9423076923077,0.6803338171262681,0.6803338171262681,Naples
28,rsfMRI,Degree_mean,74.62264150943396,73.9423076923077,0.6803338171262681,0.6803338171262681,Naples
30,rsfMRI,Degree_mean,74.62264150943396,73.9423076923077,0.6803338171262681,0.6803338171262681,Naples
59,rsfMRI,Degree_mean,74.56603773584905,74.0,0.5660377358490507,0.5660377358490507,Naples
18,rsfMRI,Degree_mean,74.0377358490566,74.53846153846153,-0.5007256894049306,0.5007256894049306,Naples
63,rsfMRI,Degree_mean,74.05660377358491,74.51923076923077,-0.46262699564586285,0.46262699564586285,Naples
1,rsfMRI,Degree_mean,74.50943396226415,74.0576923076923,0.45174165457184756,0.45174165457184756,Naples
12,rsfMRI,Degree_mean,74.50943396226415,74.0576923076923,0.45174165457184756,0.45174165457184756,Naples
38,rsfMRI,Eigenvector_mean,0.11809235355528391,0.10971935617210846,0.008372997383175457,0.008372997383175457,Naples
3,rsfMRI,Eigenvector_mean,0.10377350235980454,0.11130877313167173,-0.007535270771867192,0.007535270771867192,Naples
31,rsfMRI,Eigenvector_mean,0.11498237283092586,0.10871575857163561,0.006266614259290246,0.006266614259290246,Naples
58,rsfMRI,Eigenvector_mean,0.11359694911372487,0.10781710557373234,0.00577984353999253,0.00577984353999253,Naples
40,rsfMRI,Eigenvector_mean,0.11150185423151068,0.10622566576507499,0.005276188466435697,0.005276188466435697,Naples
39,rsfMRI,Eigenvector_mean,0.11524755444361255,0.11024902803299606,0.004998526410616488,0.004998526410616488,Naples
2,rsfMRI,Eigenvector_mean,0.11635908292603124,0.11152906765901392,0.004830015267017318,0.004830015267017318,Naples
29,rsfMRI,Eigenvector_mean,0.12330227853663768,0.11851446120739695,0.004787817329240732,0.004787817329240732,Naples
25,rsfMRI,Eigenvector_mean,0.11249569625664958,0.11709932711832495,-0.004603630861675367,0.004603630861675367,Naples
70,rsfMRI,Eigenvector_mean,0.11366343781339598,0.11824219441753694,-0.004578756604140963,0.004578756604140963,Naples
38,rsfMRI,Strength_mean,41.94911749215824,37.97386971051434,3.975247781643894,3.975247781643894,Naples
31,rsfMRI,Strength_mean,40.85482801111101,37.617274312426005,3.237553698685005,3.237553698685005,Naples
58,rsfMRI,Strength_mean,40.219657425104835,37.40171010023501,2.8179473248698272,2.8179473248698272,Naples
39,rsfMRI,Strength_mean,40.704606134795704,37.92086683182057,2.7837393029751354,2.7837393029751354,Naples
40,rsfMRI,Strength_mean,39.53145603781361,36.75387336449605,2.7775826733175606,2.7775826733175606,Naples
29,rsfMRI,Strength_mean,43.38339582658708,40.68480432610651,2.6985915004805747,2.6985915004805747,Naples
33,rsfMRI,Strength_mean,38.13183521979941,35.481154843892014,2.650680375907399,2.650680375907399,Naples
74,rsfMRI,Strength_mean,42.81388393381554,40.19041774303696,2.6234661907785792,2.6234661907785792,Naples
2,rsfMRI,Strength_mean,40.88271725784492,38.3962351821823,2.4864820756626145,2.4864820756626145,Naples
45,rsfMRI,Strength_mean,41.82353232618014,39.38345602303109,2.4400763031490555,2.4400763031490555,Naples
