Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
GM,38,Closeness,0.9469937,0.9438299,0.0031638145
GM,39,Closeness,1.0,0.9938002,0.006199777
GM,40,Closeness,0.9690625,0.9682936,0.0007688999
GM,41,Closeness,0.9986842,0.99362224,0.005061984
GM,42,Closeness,0.9935223,0.99385595,-0.0003336668
GM,43,Closeness,0.9986842,0.99371845,0.004965782
GM,44,Closeness,0.99615383,0.9940503,0.0021035075
GM,45,Closeness,0.868151,0.8681018,4.9233437e-05
GM,46,Closeness,0.8335763,0.8395261,-0.0059497952
GM,47,Closeness,0.625,0.6239663,0.0010337234
GM,48,Closeness,0.9986842,0.9935488,0.005135417
GM,49,Closeness,0.99473685,0.99403477,0.0007020831
GM,50,Closeness,0.96540993,0.9691039,-0.0036939383
GM,51,Closeness,0.9960868,0.99413073,0.0019560456
GM,52,Closeness,0.97277707,0.9681049,0.0046721697
GM,53,Closeness,0.9363426,0.9322171,0.004125476
GM,54,Closeness,1.0,0.9935593,0.006440699
GM,55,Closeness,0.9481804,0.9445489,0.0036314726
GM,56,Closeness,0.85227287,0.84839875,0.003874123
GM,57,Closeness,0.97436476,0.9815312,-0.0071664453
GM,58,Closeness,0.9923393,0.99392056,-0.0015812516
GM,59,Closeness,0.78705686,0.78697217,8.46982e-05
GM,60,Closeness,0.85960895,0.8688886,-0.009279668
GM,61,Closeness,0.98174846,0.9810108,0.0007376671
GM,62,Closeness,0.9555136,0.956133,-0.00061941147
GM,63,Closeness,0.61475414,0.6138207,0.00093346834
GM,64,Closeness,0.70688593,0.705749,0.0011369586
GM,65,Closeness,0.8993866,0.8990454,0.000341177
GM,66,Closeness,0.7669473,0.7709239,-0.0039765835
GM,67,Closeness,0.81348294,0.81206816,0.0014147758
GM,68,Closeness,0.8993866,0.8991591,0.00022751093
GM,69,Closeness,0.9124564,0.90991956,0.0025368333
GM,70,Closeness,0.9363426,0.93230194,0.0040406585
GM,71,Closeness,0.7575758,0.75516117,0.0024146438
GM,72,Closeness,0.9215686,0.9210389,0.0005296469
GM,73,Closeness,0.8417603,0.8391157,0.0026445985
GM,74,Closeness,0.5990476,0.599295,-0.00024741888
GM,75,Closeness,0.9363426,0.93225056,0.0040920377
GM,0,Eigenvector,0.11863402,0.11213754,0.0064964816
GM,1,Eigenvector,0.114820436,0.114307486,0.0005129501
GM,2,Eigenvector,0.07047765,0.07627385,-0.0057962015
GM,3,Eigenvector,0.13197167,0.13323772,-0.0012660474
GM,4,Eigenvector,0.13429654,0.13374949,0.00054705143
GM,5,Eigenvector,0.12627847,0.12350339,0.002775088
GM,6,Eigenvector,0.13028467,0.12984115,0.00044351816
GM,7,Eigenvector,0.13465025,0.131878,0.0027722418
GM,8,Eigenvector,0.12929292,0.12847339,0.00081953406
GM,9,Eigenvector,0.13178746,0.1314454,0.00034207106
GM,10,Eigenvector,0.1257956,0.12452739,0.0012682155
GM,11,Eigenvector,0.12619814,0.12715188,-0.0009537339
GM,12,Eigenvector,0.12729827,0.1270583,0.0002399683
GM,13,Eigenvector,0.12794387,0.12915906,-0.0012151897
GM,14,Eigenvector,0.07951266,0.074541345,0.004971318
GM,15,Eigenvector,0.09674376,0.10013191,-0.003388144
GM,16,Eigenvector,0.118068695,0.1249168,-0.0068481043
GM,17,Eigenvector,0.11470701,0.118720286,-0.0040132776
GM,18,Eigenvector,0.082358874,0.08260023,-0.00024135411
GM,19,Eigenvector,0.057098884,0.05994193,-0.0028430447
GM,20,Eigenvector,0.11771295,0.11664664,0.0010663122
GM,21,Eigenvector,0.07901354,0.08065313,-0.0016395897
GM,22,Eigenvector,0.10279046,0.1076954,-0.0049049407
GM,23,Eigenvector,0.12940325,0.12323636,0.0061668903
GM,24,Eigenvector,0.12379001,0.12288221,0.0009078011
GM,25,Eigenvector,0.119963504,0.11980115,0.0001623556
GM,26,Eigenvector,0.08204056,0.083561264,-0.0015207008
GM,27,Eigenvector,0.12700571,0.12528157,0.0017241389
GM,28,Eigenvector,0.101455614,0.09971633,0.0017392859
GM,29,Eigenvector,0.033177998,0.036960587,-0.003782589
GM,30,Eigenvector,0.10309728,0.10760255,-0.004505269
GM,31,Eigenvector,0.11267978,0.11801637,-0.00533659
GM,32,Eigenvector,0.11732127,0.118237466,-0.0009161979
GM,33,Eigenvector,0.1217528,0.12103178,0.00072101504
GM,34,Eigenvector,0.12137798,0.12300201,-0.0016240254
GM,35,Eigenvector,0.120550156,0.12294127,-0.0023911148
GM,36,Eigenvector,0.12019004,0.12151435,-0.0013243109
GM,37,Eigenvector,0.12773073,0.12650634,0.0012243837
GM,38,Eigenvector,0.11143205,0.114995085,-0.0035630316
GM,39,Eigenvector,0.12865838,0.12811922,0.0005391687
GM,40,Eigenvector,0.12304763,0.12206478,0.0009828508
GM,41,Eigenvector,0.12050961,0.12188578,-0.0013761669
GM,42,Eigenvector,0.12105881,0.12394096,-0.0028821528
GM,43,Eigenvector,0.122428164,0.12193453,0.00049363077
GM,44,Eigenvector,0.13155974,0.13015303,0.0014067143
GM,45,Eigenvector,0.11330736,0.106833495,0.0064738616
GM,46,Eigenvector,0.10492639,0.097866304,0.007060088
GM,47,Eigenvector,0.05042886,0.0558776,-0.00544874
GM,48,Eigenvector,0.12410519,0.12432009,-0.0002148971
GM,49,Eigenvector,0.12651558,0.12602013,0.0004954487
GM,50,Eigenvector,0.13284978,0.12941012,0.0034396648
GM,51,Eigenvector,0.11928918,0.12234509,-0.0030559078
GM,52,Eigenvector,0.1302368,0.12886164,0.0013751686
GM,53,Eigenvector,0.12857619,0.12960625,-0.0010300577
GM,54,Eigenvector,0.13395464,0.13277692,0.0011777282
GM,55,Eigenvector,0.12517086,0.1281916,-0.0030207485
GM,56,Eigenvector,0.11562638,0.11727991,-0.0016535297
GM,57,Eigenvector,0.12104044,0.12298773,-0.0019472912
GM,58,Eigenvector,0.11783093,0.124106295,-0.0062753633
GM,59,Eigenvector,0.085359044,0.08403148,0.0013275668
GM,60,Eigenvector,0.11142075,0.10397877,0.0074419826
GM,61,Eigenvector,0.13233334,0.13067,0.0016633421
GM,62,Eigenvector,0.12390606,0.12306016,0.00084590167
GM,63,Eigenvector,0.05108694,0.057434376,-0.0063474365
GM,64,Eigenvector,0.066136405,0.06145514,0.004681263
GM,65,Eigenvector,0.11756915,0.1132346,0.0043345466
GM,66,Eigenvector,0.084334746,0.0771468,0.0071879476
GM,67,Eigenvector,0.09907831,0.10089166,-0.0018133447
GM,68,Eigenvector,0.11819186,0.116907306,0.0012845546
GM,69,Eigenvector,0.12253593,0.12075462,0.0017813072
GM,70,Eigenvector,0.12638535,0.12277849,0.0036068559
GM,71,Eigenvector,0.08101066,0.08212011,-0.001109451
GM,72,Eigenvector,0.1231482,0.12011239,0.0030358136
GM,73,Eigenvector,0.101559974,0.09903131,0.0025286674
GM,74,Eigenvector,0.03522734,0.033202026,0.0020253137
GM,75,Eigenvector,0.12389938,0.12044405,0.003455326
