Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
FA,60,Betweenness,0.006766767,0.013156882,-0.006390115
FA,61,Betweenness,0.021701701,0.014424357,0.0072773444
FA,62,Betweenness,0.03205205,0.021445172,0.010606879
FA,63,Betweenness,0.034214213,0.03033737,0.0038768444
FA,64,Betweenness,0.022082083,0.018358497,0.003723586
FA,65,Betweenness,0.06366367,0.040241066,0.023422603
FA,66,Betweenness,0.026846847,0.029378066,-0.0025312193
FA,67,Betweenness,0.009029029,0.015614789,-0.00658576
FA,68,Betweenness,0.03815816,0.034395777,0.003762383
FA,69,Betweenness,0.015375376,0.016054675,-0.00067929924
FA,70,Betweenness,0.0028428428,0.007140105,-0.004297262
FA,71,Betweenness,0.016936935,0.018649273,-0.0017123371
FA,72,Betweenness,0.080280274,0.030469088,0.049811184
FA,73,Betweenness,0.017737739,0.021164339,-0.0034266002
FA,74,Betweenness,0.013873873,0.015299159,-0.0014252858
FA,75,Betweenness,0.027207205,0.024984157,0.0022230484
FA,0,Closeness,0.69267476,0.6928512,-0.00017642975
FA,1,Closeness,0.734501,0.7332066,0.0012943745
FA,2,Closeness,0.6995055,0.6992723,0.00023323298
FA,3,Closeness,0.58852416,0.59005046,-0.0015262961
FA,4,Closeness,0.71778363,0.71943283,-0.0016492009
FA,5,Closeness,0.8699031,0.8681284,0.0017746687
FA,6,Closeness,0.7631843,0.76290053,0.0002837777
FA,7,Closeness,0.7937302,0.7952769,-0.0015466809
FA,8,Closeness,0.7644472,0.7627036,0.0017436147
FA,9,Closeness,0.7631843,0.7629316,0.0002527237
FA,10,Closeness,0.7002133,0.6991565,0.0010567904
FA,11,Closeness,0.71170646,0.71259326,-0.0008867979
FA,12,Closeness,0.85989213,0.85825896,0.0016331673
FA,13,Closeness,0.6224361,0.6242655,-0.0018293858
FA,14,Closeness,0.71242094,0.71247077,-4.9829483e-05
FA,15,Closeness,0.7266068,0.7261627,0.0004441142
FA,16,Closeness,0.6515492,0.65094006,0.00060915947
FA,17,Closeness,0.734501,0.7331369,0.0013641119
FA,18,Closeness,0.6693136,0.6681944,0.0011191964
FA,19,Closeness,0.77861905,0.7787308,-0.00011175871
FA,20,Closeness,0.74176544,0.7403071,0.0014583468
FA,21,Closeness,0.7714515,0.7707001,0.00075137615
FA,22,Closeness,0.89052296,0.8886837,0.0018392801
FA,23,Closeness,0.7128023,0.71246094,0.0003413558
FA,24,Closeness,0.8045452,0.8034665,0.0010787249
FA,25,Closeness,0.82367814,0.8208314,0.0028467178
FA,26,Closeness,0.881226,0.8782097,0.003016293
FA,27,Closeness,0.85725486,0.8585288,-0.0012739301
FA,28,Closeness,0.7946732,0.79511416,-0.00044095516
FA,29,Closeness,0.61871034,0.6189667,-0.00025635958
FA,30,Closeness,0.8817829,0.87842315,0.003359735
FA,31,Closeness,0.96785176,0.96890014,-0.0010483861
FA,32,Closeness,0.82071334,0.82103485,-0.00032150745
FA,33,Closeness,0.9203103,0.921514,-0.0012036562
FA,34,Closeness,0.8395754,0.83931863,0.0002567768
FA,35,Closeness,0.753004,0.755533,-0.0025289655
FA,36,Closeness,0.6491185,0.65121573,-0.002097249
FA,37,Closeness,0.66576606,0.6685852,-0.002819121
FA,38,Closeness,0.9719446,0.9684642,0.0034803748
FA,39,Closeness,0.82071334,0.82104504,-0.00033169985
FA,40,Closeness,0.92341655,0.9211254,0.002291143
FA,41,Closeness,0.8385689,0.83940685,-0.0008379221
FA,42,Closeness,0.7667002,0.7711917,-0.004491508
FA,43,Closeness,0.6335211,0.63468146,-0.0011603832
FA,44,Closeness,0.64939433,0.6511724,-0.0017780662
FA,45,Closeness,0.6937366,0.6927259,0.001010716
FA,46,Closeness,0.74176544,0.740459,0.0013064146
FA,47,Closeness,0.72543985,0.72625977,-0.0008199215
FA,48,Closeness,0.56723255,0.56774473,-0.0005121827
FA,49,Closeness,0.67366475,0.67432904,-0.00066429377
FA,50,Closeness,0.880086,0.878281,0.0018050075
FA,51,Closeness,0.7559007,0.7552417,0.00065898895
FA,52,Closeness,0.8026785,0.80366105,-0.000982523
FA,53,Closeness,0.75673413,0.7550973,0.0016368032
FA,54,Closeness,0.74096435,0.74043345,0.0005308986
FA,55,Closeness,0.6991317,0.69926596,-0.00013422966
FA,56,Closeness,0.7177556,0.71945333,-0.0016977191
FA,57,Closeness,0.87894607,0.8785401,0.00040596724
FA,58,Closeness,0.6218669,0.6243313,-0.0024644136
FA,59,Closeness,0.70573056,0.705877,-0.00014644861
FA,60,Closeness,0.7277663,0.7260448,0.0017215014
FA,61,Closeness,0.6683318,0.66829824,3.3557415e-05
FA,62,Closeness,0.734501,0.7331063,0.0013946891
FA,63,Closeness,0.6739999,0.674299,-0.0002990961
FA,64,Closeness,0.7554798,0.7552331,0.00024670362
FA,65,Closeness,0.73136604,0.7335014,-0.0021353364
FA,66,Closeness,0.7563132,0.7552533,0.0010598898
FA,67,Closeness,0.9024191,0.8991782,0.0032408834
FA,68,Closeness,0.6787591,0.6805472,-0.0017880797
FA,69,Closeness,0.81375635,0.8120662,0.0016901493
FA,70,Closeness,0.8416561,0.83935297,0.0023031235
FA,71,Closeness,0.90122384,0.8991673,0.002056539
FA,72,Closeness,0.8994311,0.8993573,7.379055e-05
FA,73,Closeness,0.79554915,0.79500914,0.0005400181
FA,74,Closeness,0.5992064,0.59928554,-7.915497e-05
FA,75,Closeness,0.89052296,0.8888056,0.001717329
FA,0,Eigenvector,0.09646908,0.09757595,-0.0011068657
FA,1,Eigenvector,0.11614594,0.11645176,-0.00030582398
FA,2,Eigenvector,0.0968407,0.09622515,0.00061555207
FA,3,Eigenvector,0.049023032,0.049658436,-0.00063540414
FA,4,Eigenvector,0.095463835,0.09572662,-0.00026278198
FA,5,Eigenvector,0.1464916,0.14510457,0.0013870299
FA,6,Eigenvector,0.11069441,0.110759564,-6.515533e-05
FA,7,Eigenvector,0.1301268,0.12905139,0.0010754168
FA,8,Eigenvector,0.1167547,0.11565728,0.0010974258
FA,9,Eigenvector,0.11061383,0.11181099,-0.0011971593
FA,10,Eigenvector,0.09091354,0.08911309,0.0018004552
FA,11,Eigenvector,0.096624345,0.09871864,-0.0020942986
FA,12,Eigenvector,0.13388675,0.13394092,-5.416572e-05
FA,13,Eigenvector,0.06044434,0.059969388,0.00047495216
FA,14,Eigenvector,0.11251405,0.11098688,0.0015271679
FA,15,Eigenvector,0.113239735,0.11432737,-0.0010876358
FA,16,Eigenvector,0.07903908,0.080700845,-0.0016617626
FA,17,Eigenvector,0.11105292,0.111954406,-0.000901483
FA,18,Eigenvector,0.08366054,0.08214763,0.0015129149
FA,19,Eigenvector,0.12422635,0.123590484,0.00063586235
FA,20,Eigenvector,0.116826944,0.115874454,0.0009524897
FA,21,Eigenvector,0.120581135,0.119962834,0.00061830133
FA,22,Eigenvector,0.14635769,0.14152934,0.0048283488
FA,23,Eigenvector,0.09142887,0.09358886,-0.0021599904
FA,24,Eigenvector,0.12039549,0.12082165,-0.0004261583
FA,25,Eigenvector,0.1313765,0.12969324,0.001683265
FA,26,Eigenvector,0.14845979,0.14515993,0.0032998621
FA,27,Eigenvector,0.13813218,0.13875279,-0.00062060356
FA,28,Eigenvector,0.12697953,0.1266102,0.00036932528
FA,29,Eigenvector,0.070860066,0.072476566,-0.0016165003
FA,30,Eigenvector,0.14645916,0.14755715,-0.0010979921
FA,31,Eigenvector,0.14811507,0.1483099,-0.00019483268
FA,32,Eigenvector,0.120760165,0.122148894,-0.0013887286
FA,33,Eigenvector,0.13826163,0.13950534,-0.0012437105
FA,34,Eigenvector,0.13488682,0.13842481,-0.0035379976
FA,35,Eigenvector,0.10803719,0.107786275,0.0002509132
FA,36,Eigenvector,0.07124231,0.07339113,-0.002148822
FA,37,Eigenvector,0.07576869,0.07782038,-0.0020516962
FA,38,Eigenvector,0.14357682,0.14369369,-0.00011686981
FA,39,Eigenvector,0.120592,0.12004889,0.0005431101
FA,40,Eigenvector,0.13832396,0.13910258,-0.0007786155
FA,41,Eigenvector,0.1346448,0.13671847,-0.0020736605
FA,42,Eigenvector,0.1132068,0.11270313,0.0005036667
FA,43,Eigenvector,0.0651583,0.06607766,-0.00091935694
FA,44,Eigenvector,0.071161956,0.07236131,-0.0011993572
FA,45,Eigenvector,0.09942549,0.1017678,-0.0023423135
FA,46,Eigenvector,0.11788723,0.117384985,0.00050224364
FA,47,Eigenvector,0.1009556,0.09930875,0.0016468465
FA,48,Eigenvector,0.044124108,0.044460975,-0.00033686683
FA,49,Eigenvector,0.081111394,0.08137581,-0.00026441365
FA,50,Eigenvector,0.14735682,0.14654659,0.00081023574
FA,51,Eigenvector,0.11312016,0.113004714,0.000115446746
FA,52,Eigenvector,0.12817661,0.1271135,0.0010631084
FA,53,Eigenvector,0.11302042,0.111166224,0.0018541962
FA,54,Eigenvector,0.10434373,0.104879946,-0.0005362183
FA,55,Eigenvector,0.09135162,0.089175984,0.0021756366
FA,56,Eigenvector,0.097480394,0.099861175,-0.0023807809
FA,57,Eigenvector,0.14076217,0.1410027,-0.00024053454
FA,58,Eigenvector,0.06372696,0.062182084,0.0015448779
FA,59,Eigenvector,0.11152601,0.11050552,0.0010204911
FA,60,Eigenvector,0.112778835,0.114463754,-0.001684919
FA,61,Eigenvector,0.08781906,0.08852889,-0.00070982426
FA,62,Eigenvector,0.11171182,0.11253629,-0.00082446635
FA,63,Eigenvector,0.08350642,0.08178491,0.0017215088
FA,64,Eigenvector,0.12092468,0.12026268,0.000661999
FA,65,Eigenvector,0.11519435,0.116588004,-0.0013936535
FA,66,Eigenvector,0.1162747,0.11515463,0.0011200681
FA,67,Eigenvector,0.14635478,0.14285205,0.0035027266
FA,68,Eigenvector,0.0861024,0.08771457,-0.0016121641
FA,69,Eigenvector,0.12882794,0.1282343,0.00059364736
FA,70,Eigenvector,0.1361138,0.13418967,0.0019241273
FA,71,Eigenvector,0.14934362,0.14588726,0.003456369
FA,72,Eigenvector,0.14486162,0.14549272,-0.000631094
FA,73,Eigenvector,0.13359797,0.13390097,-0.0003030002
FA,74,Eigenvector,0.063918285,0.06466033,-0.000742048
FA,75,Eigenvector,0.14787687,0.148806,-0.0009291321
