Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
rsfMRI,22,Betweenness,0.0050050044,0.011675675,-0.006670671
rsfMRI,23,Betweenness,0.011651652,0.013788133,-0.002136481
rsfMRI,24,Betweenness,0.0052252254,0.009893755,-0.00466853
rsfMRI,25,Betweenness,0.025085086,0.009488662,0.015596424
rsfMRI,26,Betweenness,0.012852852,0.012987885,-0.00013503246
rsfMRI,27,Betweenness,0.008488488,0.008914568,-0.00042608008
rsfMRI,28,Betweenness,0.010590591,0.0142205665,-0.003629976
rsfMRI,29,Betweenness,0.00936937,0.015217148,-0.005847778
rsfMRI,30,Betweenness,0.012932933,0.015845913,-0.0029129805
rsfMRI,31,Betweenness,0.012532532,0.019611059,-0.0070785265
rsfMRI,32,Betweenness,0.02880881,0.020279592,0.008529218
rsfMRI,33,Betweenness,0.012312314,0.025215283,-0.0129029695
rsfMRI,34,Betweenness,0.015995996,0.044418763,-0.028422767
rsfMRI,35,Betweenness,0.04148148,0.027382417,0.014099063
rsfMRI,36,Betweenness,0.007407407,0.021176765,-0.013769358
rsfMRI,37,Betweenness,0.0032632633,0.035775088,-0.032511823
rsfMRI,38,Betweenness,0.035635635,0.032243554,0.0033920817
rsfMRI,39,Betweenness,0.02016016,0.01799565,0.0021645091
rsfMRI,40,Betweenness,0.007867869,0.039828524,-0.031960655
rsfMRI,41,Betweenness,0.040120125,0.051225852,-0.011105727
rsfMRI,42,Betweenness,0.03543544,0.028319351,0.007116087
rsfMRI,43,Betweenness,0.0059059057,0.02744455,-0.021538645
rsfMRI,44,Betweenness,0.02222222,0.019660763,0.0025614575
rsfMRI,45,Betweenness,0.0042042043,0.015112768,-0.010908564
rsfMRI,46,Betweenness,0.012992993,0.008206274,0.0047867186
rsfMRI,47,Betweenness,0.0138538545,0.010147251,0.0037066033
rsfMRI,48,Betweenness,0.043163165,0.037830383,0.005332783
rsfMRI,49,Betweenness,0.016936935,0.01733209,-0.00039515458
rsfMRI,50,Betweenness,0.010830831,0.013909909,-0.0030790782
rsfMRI,51,Betweenness,0.008648649,0.009178005,-0.0005293563
rsfMRI,52,Betweenness,0.007687688,0.0089791855,-0.0012914976
rsfMRI,53,Betweenness,0.022882884,0.01535632,0.0075265644
rsfMRI,54,Betweenness,0.021461463,0.008106866,0.013354597
rsfMRI,55,Betweenness,0.010170171,0.017866418,-0.0076962467
rsfMRI,56,Betweenness,0.007807808,0.009642746,-0.0018349383
rsfMRI,57,Betweenness,0.015615616,0.012992855,0.0026227608
rsfMRI,58,Betweenness,0.011051052,0.0345101,-0.023459047
rsfMRI,59,Betweenness,0.0060060066,0.016954334,-0.010948328
rsfMRI,60,Betweenness,0.006586587,0.01279155,-0.0062049627
rsfMRI,61,Betweenness,0.015435436,0.010052811,0.0053826245
rsfMRI,62,Betweenness,0.015735736,0.01491892,0.00081681646
rsfMRI,63,Betweenness,0.013673674,0.013981982,-0.00030830782
rsfMRI,64,Betweenness,0.008168167,0.00921777,-0.0010496024
rsfMRI,65,Betweenness,0.020260261,0.012771667,0.0074885944
rsfMRI,66,Betweenness,0.0046446454,0.009506058,-0.0048614126
rsfMRI,67,Betweenness,0.008808808,0.013425287,-0.0046164785
rsfMRI,68,Betweenness,0.009089089,0.02103262,-0.011943531
rsfMRI,69,Betweenness,0.007407407,0.011233303,-0.003825896
rsfMRI,70,Betweenness,0.015375374,0.011802425,0.0035729492
rsfMRI,71,Betweenness,0.009129129,0.011660765,-0.0025316356
rsfMRI,72,Betweenness,0.0024024025,0.011079216,-0.008676814
rsfMRI,73,Betweenness,0.004924925,0.008415036,-0.0034901109
rsfMRI,74,Betweenness,0.014814814,0.015440819,-0.00062600523
rsfMRI,75,Betweenness,0.00916917,0.013808016,-0.004638846
rsfMRI,0,Closeness,0.9950503,0.994076,0.0009742975
rsfMRI,1,Closeness,0.99568915,0.99415976,0.0015293956
rsfMRI,2,Closeness,0.99568915,0.9941042,0.0015849471
rsfMRI,3,Closeness,0.99926907,0.99366635,0.0056027174
rsfMRI,4,Closeness,0.998557,0.9938397,0.0047172904
rsfMRI,5,Closeness,0.9924522,0.9945022,-0.0020499825
rsfMRI,6,Closeness,0.998538,0.99376273,0.0047752857
rsfMRI,7,Closeness,0.996383,0.99389124,0.0024917722
rsfMRI,8,Closeness,0.9971323,0.99388367,0.003248632
rsfMRI,9,Closeness,0.99452645,0.99422795,0.00029850006
rsfMRI,10,Closeness,0.9963451,0.9939655,0.0023795962
rsfMRI,11,Closeness,0.99926907,0.9940291,0.0052399635
rsfMRI,12,Closeness,0.99640125,0.99388826,0.0025129914
rsfMRI,13,Closeness,0.9971322,0.9940114,0.00312078
rsfMRI,14,Closeness,0.99926907,0.9937751,0.005493939
rsfMRI,15,Closeness,0.99707603,0.9939303,0.0031457543
rsfMRI,16,Closeness,0.9952575,0.99419355,0.0010639429
rsfMRI,17,Closeness,0.993748,0.9942542,-0.00050616264
rsfMRI,18,Closeness,0.9958848,0.994305,0.0015797615
rsfMRI,19,Closeness,0.99780697,0.9939065,0.0039004683
rsfMRI,20,Closeness,0.9936228,0.99430573,-0.00068295
rsfMRI,21,Closeness,0.99707603,0.99394023,0.0031358004
rsfMRI,22,Closeness,0.99568915,0.9940492,0.0016399622
rsfMRI,23,Closeness,0.99926907,0.99376106,0.0055080056
rsfMRI,24,Closeness,0.99786323,0.9938081,0.0040551424
rsfMRI,25,Closeness,0.997095,0.9938988,0.0031961799
rsfMRI,26,Closeness,0.9950503,0.994108,0.00094228983
rsfMRI,27,Closeness,0.9971322,0.9939142,0.0032179952
rsfMRI,28,Closeness,0.9939143,0.99434036,-0.000426054
rsfMRI,29,Closeness,1.0,0.9938662,0.006133795
rsfMRI,30,Closeness,0.99782604,0.99385554,0.003970504
rsfMRI,31,Closeness,0.99572647,0.9940161,0.0017103553
rsfMRI,32,Closeness,0.9900097,0.9949177,-0.0049079657
rsfMRI,33,Closeness,0.99926907,0.9936719,0.005597174
rsfMRI,34,Closeness,0.99780697,0.9938059,0.004001081
rsfMRI,35,Closeness,0.998538,0.99392605,0.004611969
rsfMRI,36,Closeness,0.99782604,0.99397635,0.0038496852
rsfMRI,37,Closeness,1.0,0.9935128,0.0064871907
rsfMRI,38,Closeness,0.997095,0.99387115,0.0032238364
rsfMRI,39,Closeness,0.99574405,0.99417377,0.0015702844
